Date,Occurrence,Postcode,Sr_Num,Enq_Type,,,
01/04/2013,Alarm,LS1 6,OutofHours,OutofHours,,,
01/04/2013,Alarm,LS6 1,OutofHours,OutofHours,,,
01/04/2013,Other,LS13 2,OutofHours,OutofHours,,,
01/04/2013,DIY,LS9 6,OutofHours,OutofHours,,,
01/04/2013,Barking Dog,LS13 2,OutofHours,OutofHours,,,
01/04/2013,Music,LS11 9,OutofHours,OutofHours,,,
01/04/2013,Music,LS14 1,OutofHours,OutofHours,,,
01/04/2013,Music,LS15 0,OutofHours,OutofHours,,,
01/04/2013,Music,LS17 5,OutofHours,OutofHours,,,
01/04/2013,Music,LS19 7,OutofHours,OutofHours,,,
01/04/2013,Music,LS19 7,OutofHours,OutofHours,,,
01/04/2013,Music,LS2 7,OutofHours,OutofHours,,,
01/04/2013,Music,LS27 7,OutofHours,OutofHours,,,
01/04/2013,Music,LS28 9,OutofHours,OutofHours,,,
01/04/2013,Music,LS4 2,OutofHours,OutofHours,,,
01/04/2013,Music,LS6 1,OutofHours,OutofHours,,,
01/04/2013,Music,LS6 2,OutofHours,OutofHours,,,
01/04/2013,Music,LS6 2,OutofHours,OutofHours,,,
01/04/2013,Music,LS6 2,OutofHours,OutofHours,,,
01/04/2013,Music,LS7 3,OutofHours,OutofHours,,,
01/04/2013,Music,LS9 7,OutofHours,OutofHours,,,
01/04/2013,Music,LS9 8,OutofHours,OutofHours,,,
01/04/2013,Party,LS1 4,OutofHours,OutofHours,,,
01/04/2013,Party,LS11 8,OutofHours,OutofHours,,,
01/04/2013,Party,LS13 2,OutofHours,OutofHours,,,
01/04/2013,Party,LS14 6,OutofHours,OutofHours,,,
01/04/2013,Party,LS9 6,OutofHours,OutofHours,,,
01/04/2013,TV,LS27 7,OutofHours,OutofHours,,,
02/04/2013,Barking Dog,LS10 3,OutofHours,OutofHours,,,
02/04/2013,Barking Dog,LS17 5,OutofHours,OutofHours,,,
02/04/2013,Barking Dog,LS27 9,OutofHours,OutofHours,,,
02/04/2013,Barking Dog,WF3 1,OutofHours,OutofHours,,,
02/04/2013,Barking Dog,,OutofHours,OutofHours,,,
02/04/2013,Other,LS27 8,OutofHours,OutofHours,,,
02/04/2013,Music,BD11 1,OutofHours,OutofHours,,,
02/04/2013,Music,LS13 2,OutofHours,OutofHours,,,
02/04/2013,Music,LS13 2,OutofHours,OutofHours,,,
02/04/2013,Music,LS14 6,OutofHours,OutofHours,,,
02/04/2013,Music,LS16 5,OutofHours,OutofHours,,,
02/04/2013,Music,LS16 5,OutofHours,OutofHours,,,
02/04/2013,Music,LS16 6,OutofHours,OutofHours,,,
02/04/2013,Music,LS28 9,OutofHours,OutofHours,,,
02/04/2013,Music,LS6 1,OutofHours,OutofHours,,,
02/04/2013,Music,LS8 5,OutofHours,OutofHours,,,
02/04/2013,Music,WF3 2,OutofHours,OutofHours,,,
02/04/2013,Party,LS13 2,OutofHours,OutofHours,,,
02/04/2013,Other,LS14 2,OutofHours,OutofHours,,,
03/04/2013,Other,LS12 2,OutofHours,OutofHours,,,
03/04/2013,Barking Dog,LS13 3,OutofHours,OutofHours,,,
03/04/2013,DIY,LS10 3,OutofHours,OutofHours,,,
03/04/2013,Music,LS10 2,OutofHours,OutofHours,,,
03/04/2013,Music,LS10 4,OutofHours,OutofHours,,,
03/04/2013,Music,LS14 1,OutofHours,OutofHours,,,
03/04/2013,Music,LS6 1,OutofHours,OutofHours,,,
03/04/2013,Music,LS6 1,OutofHours,OutofHours,,,
03/04/2013,Music,LS7 2,OutofHours,OutofHours,,,
03/04/2013,Music,LS8 4,OutofHours,OutofHours,,,
03/04/2013,Music,LS9 7,OutofHours,OutofHours,,,
03/04/2013,Music,LS14 1,OutofHours,OutofHours,,,
03/04/2013,TV,LS7 3,OutofHours,OutofHours,,,
03/04/2013,Other,LS9 6,OutofHours,OutofHours,,,
04/04/2013,Alarm,LS25 7,OutofHours,OutofHours,,,
04/04/2013,Other,LS25 7,OutofHours,OutofHours,,,
04/04/2013,Other,LS8 1,OutofHours,OutofHours,,,
04/04/2013,Other,LS8 1,OutofHours,OutofHours,,,
04/04/2013,Music,LS1 7,OutofHours,OutofHours,,,
04/04/2013,Music,LS10 4,OutofHours,OutofHours,,,
04/04/2013,Music,LS11 6,OutofHours,OutofHours,,,
04/04/2013,Music,LS4 2,OutofHours,OutofHours,,,
04/04/2013,Music,LS6 1,OutofHours,OutofHours,,,
04/04/2013,Music,LS6 3,OutofHours,OutofHours,,,
04/04/2013,Music,WF3 2,OutofHours,OutofHours,,,
05/04/2013,Barking Dog,LS27 9,OutofHours,OutofHours,,,
05/04/2013,Barking Dog,,OutofHours,OutofHours,,,
05/04/2013,Other,LS20 9,OutofHours,OutofHours,,,
05/04/2013,Music,LS12 2,OutofHours,OutofHours,,,
05/04/2013,Music,LS14 1,OutofHours,OutofHours,,,
05/04/2013,Music,LS17 7,OutofHours,OutofHours,,,
05/04/2013,Music,LS17 7,OutofHours,OutofHours,,,
05/04/2013,Music,LS17 7,OutofHours,OutofHours,,,
05/04/2013,Music,LS28 6,OutofHours,OutofHours,,,
05/04/2013,Music,LS28 6,OutofHours,OutofHours,,,
05/04/2013,Music,LS3 1,OutofHours,OutofHours,,,
05/04/2013,Music,LS3 1,OutofHours,OutofHours,,,
05/04/2013,Music,LS6 2,OutofHours,OutofHours,,,
05/04/2013,Music,LS6 3,OutofHours,OutofHours,,,
05/04/2013,Music,LS7 2,OutofHours,OutofHours,,,
05/04/2013,Music,LS9 0,OutofHours,OutofHours,,,
05/04/2013,Music,LS9 6,OutofHours,OutofHours,,,
05/04/2013,Music,LS9 9,OutofHours,OutofHours,,,
05/04/2013,Music,LS11 6,OutofHours,OutofHours,,,
06/04/2013,Alarm,LS8 1,OutofHours,OutofHours,,,
06/04/2013,Barking Dog,LS11 7,OutofHours,OutofHours,,,
06/04/2013,Barking Dog,LS13 3,OutofHours,OutofHours,,,
06/04/2013,Barking Dog,LS5 3,OutofHours,OutofHours,,,
06/04/2013,Barking Dog,,OutofHours,OutofHours,,,
06/04/2013,Other,LS26 8,OutofHours,OutofHours,,,
06/04/2013,Other,LS9 7,OutofHours,OutofHours,,,
06/04/2013,Other,LS21 2,OutofHours,OutofHours,,,
06/04/2013,Music,LS1 5,OutofHours,OutofHours,,,
06/04/2013,Music,LS10 3,OutofHours,OutofHours,,,
06/04/2013,Music,LS11 6,OutofHours,OutofHours,,,
06/04/2013,Music,LS12 1,OutofHours,OutofHours,,,
06/04/2013,Music,LS12 2,OutofHours,OutofHours,,,
06/04/2013,Music,LS12 2,OutofHours,OutofHours,,,
06/04/2013,Music,LS13 3,OutofHours,OutofHours,,,
06/04/2013,Music,LS14 1,OutofHours,OutofHours,,,
06/04/2013,Music,LS14 6,OutofHours,OutofHours,,,
06/04/2013,Music,LS16 7,OutofHours,OutofHours,,,
06/04/2013,Music,LS17 5,OutofHours,OutofHours,,,
06/04/2013,Music,LS18 5,OutofHours,OutofHours,,,
06/04/2013,Music,LS20 9,OutofHours,OutofHours,,,
06/04/2013,Music,LS21 2,OutofHours,OutofHours,,,
06/04/2013,Music,LS27 8,OutofHours,OutofHours,,,
06/04/2013,Music,LS28 5,OutofHours,OutofHours,,,
06/04/2013,Music,LS4 2,OutofHours,OutofHours,,,
06/04/2013,Music,LS4 2,OutofHours,OutofHours,,,
06/04/2013,Music,LS5 3,OutofHours,OutofHours,,,
06/04/2013,Music,LS6 1,OutofHours,OutofHours,,,
06/04/2013,Music,LS6 2,OutofHours,OutofHours,,,
06/04/2013,Music,LS6 2,OutofHours,OutofHours,,,
06/04/2013,Music,LS7 3,OutofHours,OutofHours,,,
06/04/2013,Music,LS7 3,OutofHours,OutofHours,,,
06/04/2013,Music,LS7 3,OutofHours,OutofHours,,,
06/04/2013,Music,LS9 6,OutofHours,OutofHours,,,
06/04/2013,Music,LS9 7,OutofHours,OutofHours,,,
06/04/2013,Music,LS9 7,OutofHours,OutofHours,,,
06/04/2013,Music,LS9 7,OutofHours,OutofHours,,,
06/04/2013,Music,WF3 1,OutofHours,OutofHours,,,
06/04/2013,Music,WF3 1,OutofHours,OutofHours,,,
06/04/2013,Music,,OutofHours,OutofHours,,,
06/04/2013,Music,LS12 3,OutofHours,OutofHours,,,
06/04/2013,Music,WF3 2,OutofHours,OutofHours,,,
06/04/2013,Party,LS25 4,OutofHours,OutofHours,,,
06/04/2013,Party,LS8 3,OutofHours,OutofHours,,,
06/04/2013,Other,LS10 3,OutofHours,OutofHours,,,
06/04/2013,Other,LS9 8,OutofHours,OutofHours,,,
06/04/2013,TV,LS14 1,OutofHours,OutofHours,,,
07/04/2013,Alarm,LS10 2,OutofHours,OutofHours,,,
07/04/2013,Alarm,LS10 2,OutofHours,OutofHours,,,
07/04/2013,Barking Dog,LS10 3,OutofHours,OutofHours,,,
07/04/2013,Barking Dog,LS13 3,OutofHours,OutofHours,,,
07/04/2013,Barking Dog,LS21 3,OutofHours,OutofHours,,,
07/04/2013,Barking Dog,LS27 9,OutofHours,OutofHours,,,
07/04/2013,Other,LS14 1,OutofHours,OutofHours,,,
07/04/2013,Music,BD4 8,OutofHours,OutofHours,,,
07/04/2013,Music,LS1,OutofHours,OutofHours,,,
07/04/2013,Music,LS1 6,OutofHours,OutofHours,,,
07/04/2013,Music,LS10 4,OutofHours,OutofHours,,,
07/04/2013,Music,LS11 0,OutofHours,OutofHours,,,
07/04/2013,Music,LS11 0,OutofHours,OutofHours,,,
07/04/2013,Music,LS11 6,OutofHours,OutofHours,,,
07/04/2013,Music,LS11 6,OutofHours,OutofHours,,,
07/04/2013,Music,LS11 9,OutofHours,OutofHours,,,
07/04/2013,Music,LS12 2,OutofHours,OutofHours,,,
07/04/2013,Music,LS12 5,OutofHours,OutofHours,,,
07/04/2013,Music,LS16 5,OutofHours,OutofHours,,,
07/04/2013,Music,LS17 8,OutofHours,OutofHours,,,
07/04/2013,Music,LS20 9,OutofHours,OutofHours,,,
07/04/2013,Music,LS26 8,OutofHours,OutofHours,,,
07/04/2013,Music,LS28 6,OutofHours,OutofHours,,,
07/04/2013,Music,LS6 1,OutofHours,OutofHours,,,
07/04/2013,Music,LS6 1,OutofHours,OutofHours,,,
07/04/2013,Music,LS6 3,OutofHours,OutofHours,,,
07/04/2013,Music,LS6 3,OutofHours,OutofHours,,,
07/04/2013,Music,WF3 2,OutofHours,OutofHours,,,
07/04/2013,Party,LS12 4,OutofHours,OutofHours,,,
07/04/2013,Party,LS12 4,OutofHours,OutofHours,,,
07/04/2013,Party,LS20 9,OutofHours,OutofHours,,,
07/04/2013,Party,LS6 3,OutofHours,OutofHours,,,
07/04/2013,TV,LS16 6,OutofHours,OutofHours,,,
07/04/2013,Other,,OutofHours,OutofHours,,,
08/04/2013,Barking Dog,LS27 8,OutofHours,OutofHours,,,
08/04/2013,Barking Dog,LS6 2,OutofHours,OutofHours,,,
08/04/2013,Barking Dog,,OutofHours,OutofHours,,,
08/04/2013,Other,LS27 8,OutofHours,OutofHours,,,
08/04/2013,Other,LS23 6,OutofHours,OutofHours,,,
08/04/2013,Music,LS14 1,OutofHours,OutofHours,,,
08/04/2013,Music,LS2 9,OutofHours,OutofHours,,,
08/04/2013,Music,LS21 2,OutofHours,OutofHours,,,
08/04/2013,Music,LS6 1,OutofHours,OutofHours,,,
08/04/2013,Music,LS7 1,OutofHours,OutofHours,,,
08/04/2013,Music,LS9 6,OutofHours,OutofHours,,,
08/04/2013,Music,LS9 6,OutofHours,OutofHours,,,
08/04/2013,Party,LS16 6,OutofHours,OutofHours,,,
08/04/2013,Party,LS20 9,OutofHours,OutofHours,,,
09/04/2013,Alarm,LS6 3,OutofHours,OutofHours,,,
09/04/2013,Barking Dog,WF3 1,OutofHours,OutofHours,,,
09/04/2013,Barking Dog,,OutofHours,OutofHours,,,
09/04/2013,Music,LS7 1,OutofHours,OutofHours,,,
09/04/2013,Party,LS6 3,OutofHours,OutofHours,,,
10/04/2013,Alarm,LS3 1,OutofHours,OutofHours,,,
10/04/2013,Other,LS11 0,OutofHours,OutofHours,,,
10/04/2013,Other,LS12 1,OutofHours,OutofHours,,,
10/04/2013,Other,LS14 5,OutofHours,OutofHours,,,
10/04/2013,Music,LS10 2,OutofHours,OutofHours,,,
10/04/2013,Music,LS12 2,OutofHours,OutofHours,,,
10/04/2013,Music,LS12 3,OutofHours,OutofHours,,,
10/04/2013,Music,LS2 9,OutofHours,OutofHours,,,
10/04/2013,Music,LS4 2,OutofHours,OutofHours,,,
10/04/2013,Music,LS6 3,OutofHours,OutofHours,,,
10/04/2013,Music,LS6 3,OutofHours,OutofHours,,,
10/04/2013,Music,LS8 4,OutofHours,OutofHours,,,
10/04/2013,TV,LS11 8,OutofHours,OutofHours,,,
10/04/2013,TV,LS7 2,OutofHours,OutofHours,,,
10/04/2013,Other,LS11 6,OutofHours,OutofHours,,,
11/04/2013,Barking Dog,LS21 2,OutofHours,OutofHours,,,
11/04/2013,DIY,LS11 6,OutofHours,OutofHours,,,
11/04/2013,Other,LS8 1,OutofHours,OutofHours,,,
11/04/2013,Music,LS11 0,OutofHours,OutofHours,,,
11/04/2013,Music,LS11 0,OutofHours,OutofHours,,,
11/04/2013,Music,LS11 8,OutofHours,OutofHours,,,
11/04/2013,Music,LS14 6,OutofHours,OutofHours,,,
11/04/2013,Music,LS4 2,OutofHours,OutofHours,,,
11/04/2013,Music,LS6 1,OutofHours,OutofHours,,,
11/04/2013,Music,LS6 1,OutofHours,OutofHours,,,
11/04/2013,Music,LS6 2,OutofHours,OutofHours,,,
11/04/2013,Music,LS6 2,OutofHours,OutofHours,,,
11/04/2013,Party,LS12 3,OutofHours,OutofHours,,,
11/04/2013,Party,LS6 1,OutofHours,OutofHours,,,
12/04/2013,Barking Dog,LS9 6,OutofHours,OutofHours,,,
12/04/2013,Other,LS8 4,OutofHours,OutofHours,,,
12/04/2013,Other,LS9 7,OutofHours,OutofHours,,,
12/04/2013,Music,BD11 1,OutofHours,OutofHours,,,
12/04/2013,Music,LS11 0,OutofHours,OutofHours,,,
12/04/2013,Music,LS12 3,OutofHours,OutofHours,,,
12/04/2013,Music,LS13 2,OutofHours,OutofHours,,,
12/04/2013,Music,LS15 0,OutofHours,OutofHours,,,
12/04/2013,Music,LS16 5,OutofHours,OutofHours,,,
12/04/2013,Music,LS27 8,OutofHours,OutofHours,,,
12/04/2013,Music,LS28 5,OutofHours,OutofHours,,,
12/04/2013,Music,LS3 1,OutofHours,OutofHours,,,
12/04/2013,Music,LS4 2,OutofHours,OutofHours,,,
12/04/2013,Music,LS4 2,OutofHours,OutofHours,,,
12/04/2013,Music,LS6 1,OutofHours,OutofHours,,,
12/04/2013,Music,LS6 1,OutofHours,OutofHours,,,
12/04/2013,Music,LS6 1,OutofHours,OutofHours,,,
12/04/2013,Music,LS6 2,OutofHours,OutofHours,,,
12/04/2013,Music,LS7 2,OutofHours,OutofHours,,,
12/04/2013,Music,LS8 5,OutofHours,OutofHours,,,
12/04/2013,Music,LS9 0,OutofHours,OutofHours,,,
12/04/2013,Music,LS9 6,OutofHours,OutofHours,,,
12/04/2013,Music,LS9 6,OutofHours,OutofHours,,,
12/04/2013,Music,LS9 6,OutofHours,OutofHours,,,
12/04/2013,Party,LS11 9,OutofHours,OutofHours,,,
12/04/2013,TV,LS17 8,OutofHours,OutofHours,,,
12/04/2013,TV,LS7 2,OutofHours,OutofHours,,,
13/04/2013,Alarm,LS8 2,OutofHours,OutofHours,,,
13/04/2013,Other,LS12 5,OutofHours,OutofHours,,,
13/04/2013,Other,LS12 5,OutofHours,OutofHours,,,
13/04/2013,Other,LS17 8,OutofHours,OutofHours,,,
13/04/2013,Music,LS10 3,OutofHours,OutofHours,,,
13/04/2013,Music,LS11 0,OutofHours,OutofHours,,,
13/04/2013,Music,LS11 0,OutofHours,OutofHours,,,
