Created,Caller Postcode,Noise type,Sr_Num,Enq_type
31/03/2019,LS28 8,MUSIC,OutofHours,OutofHours
31/03/2019,LS9 8,MUSIC,OutofHours,OutofHours
31/03/2019,LS5 5,MUSIC,OutofHours,OutofHours
31/03/2019,LS13 2,MUSIC,OutofHours,OutofHours
31/03/2019,LS7 2,MUSIC,OutofHours,OutofHours
31/03/2019,LS6 3,MUSIC,OutofHours,OutofHours
31/03/2019,LS6 3,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
31/03/2019,LS13 2,MUSIC,OutofHours,OutofHours
31/03/2019,LS6 3,MUSIC,OutofHours,OutofHours
31/03/2019,LS6 3,MUSIC,OutofHours,OutofHours
31/03/2019,LS11 5,PARTY,OutofHours,OutofHours
31/03/2019,LS6 1,MUSIC,OutofHours,OutofHours
31/03/2019,LS6 1,MUSIC,OutofHours,OutofHours
30/03/2019,LS17 5,SHOUTING,OutofHours,OutofHours
30/03/2019,LS6 3,MUSIC,OutofHours,OutofHours
30/03/2019,LS11 9,DIY,OutofHours,OutofHours
30/03/2019,LS11 5,MUSIC,OutofHours,OutofHours
30/03/2019,LS9 9,PARTY,OutofHours,OutofHours
30/03/2019,LS7 2,PARTY,OutofHours,OutofHours
30/03/2019,LS16 9,PARTY,OutofHours,OutofHours
30/03/2019,LS6 3,MUSIC,OutofHours,OutofHours
30/03/2019,LS6 1,MUSIC,OutofHours,OutofHours
30/03/2019,LS10 3,MUSIC,OutofHours,OutofHours
30/03/2019,LS11 5,PARTY,OutofHours,OutofHours
30/03/2019,LS7 2,PARTY,OutofHours,OutofHours
30/03/2019,LS9 9J,MUSIC,OutofHours,OutofHours
30/03/2019,LS6 3,MUSIC,OutofHours,OutofHours
30/03/2019,LS6 3,PARTY,OutofHours,OutofHours
30/03/2019,LS25 7,MUSIC,OutofHours,OutofHours
30/03/2019,LS11 0,MUSIC,OutofHours,OutofHours
30/03/2019,LS14 2,DOG BARKING,OutofHours,OutofHours
30/03/2019,LS11 8,SHOUTING,OutofHours,OutofHours
30/03/2019,LS9 6,BUILDING SITE,OutofHours,OutofHours
30/03/2019,LS6 2,MUSIC,OutofHours,OutofHours
30/03/2019,LS13 2,MUSIC,OutofHours,OutofHours
30/03/2019,LS6 1,PARTY,OutofHours,OutofHours
30/03/2019,LS6 1,PARTY,OutofHours,OutofHours
29/03/2019,LS25 7,MUSIC,OutofHours,OutofHours
29/03/2019,LS7 3,MUSIC,OutofHours,OutofHours
29/03/2019,LS8 5,MUSIC,OutofHours,OutofHours
29/03/2019,LS11 9,MUSIC,OutofHours,OutofHours
29/03/2019,LS13 2,MUSIC,OutofHours,OutofHours
29/03/2019,LS4 2,MUSIC,OutofHours,OutofHours
29/03/2019,LS14 1,MUSIC,OutofHours,OutofHours
29/03/2019,LS14 6,MUSIC,OutofHours,OutofHours
29/03/2019,LS6 1,PARTY,OutofHours,OutofHours
29/03/2019,WF3 2,SHOUTING,OutofHours,OutofHours
29/03/2019,LS17 5,MUSIC,OutofHours,OutofHours
29/03/2019,LS17 5,PARTY,OutofHours,OutofHours
29/03/2019,LS6 1,PARTY,OutofHours,OutofHours
29/03/2019,LS9 7,MUSIC,OutofHours,OutofHours
29/03/2019,LS13 4,MUSIC,OutofHours,OutofHours
29/03/2019,LS6 1,PARTY,OutofHours,OutofHours
29/03/2019,LS7 2,MUSIC,OutofHours,OutofHours
29/03/2019,LS6 3,MUSIC,OutofHours,OutofHours
29/03/2019,LS10 4,MUSIC,OutofHours,OutofHours
29/03/2019,LS11 0,DIY,OutofHours,OutofHours
29/03/2019,LS9 7,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
29/03/2019,LS6 1,PARTY,OutofHours,OutofHours
29/03/2019,LS16 6,MUSIC,OutofHours,OutofHours
29/03/2019,LS12 2,MUSIC,OutofHours,OutofHours
29/03/2019,LS17 8,DOG BARKING,OutofHours,OutofHours
29/03/2019,LS6 1,MUSIC,OutofHours,OutofHours
29/03/2019,LS8 5,MUSIC,OutofHours,OutofHours
29/03/2019,LS9 8,MUSIC,OutofHours,OutofHours
29/03/2019,LS6 1,MUSIC,OutofHours,OutofHours
29/03/2019,LS14 2,DOG BARKING,OutofHours,OutofHours
29/03/2019,LS6 2,MUSIC,OutofHours,OutofHours
29/03/2019,LS14 6,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
29/03/2019,LS6 1,PARTY,OutofHours,OutofHours
29/03/2019,LS6 1,MUSIC,OutofHours,OutofHours
