Created,Caller,Postcode,Type of Noise Causing a Nuisance,Sr_Num,Enq_Type
01/04/2020,LS14,LS14 2,SHOUTING,Out ofHours,Out ofHours
01/04/2020,LS17,LS17 5,MUSIC,Out ofHours,Out ofHours
01/04/2020,LS17,LS17 7,MUSIC,Out ofHours,Out ofHours
01/04/2020,LS17,LS17 5,TV,Out ofHours,Out ofHours
01/04/2020,LS12,LS12 1,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
01/04/2020,LS8,LS8 3,MUSIC,Out ofHours,Out ofHours
01/04/2020,LS6,LS6 3,MUSIC,Out ofHours,Out ofHours
01/04/2020,LS13,LS13 4,SHOUTING,Out ofHours,Out ofHours
01/04/2020,LS14,LS14 1,MUSIC,Out ofHours,Out ofHours
01/04/2020,LS12,LS12 3,PARTY,Out ofHours,Out ofHours
01/04/2020,LS18,LS18 4,TV,Out ofHours,Out ofHours
01/04/2020,LS14,LS14 6,MUSIC,Out ofHours,Out ofHours
01/04/2020,LS6,LS6 4,MUSIC,Out ofHours,Out ofHours
01/04/2020,LS7,LS7 2,DOG BARKING,Out ofHours,Out ofHours
01/04/2020,LS12,LS12 1,MUSIC,Out ofHours,Out ofHours
01/04/2020,LS5,LS5 3,OTHER,Out ofHours,Out ofHours
02/04/2020,LS9,LS9 9,PARTY,Out ofHours,Out ofHours
02/04/2020,LS9,LS9 7,TV,Out ofHours,Out ofHours
02/04/2020,LS27,LS27 9,OTHER,Out ofHours,Out ofHours
02/04/2020,LS9,LS9 8,OTHER,Out ofHours,Out ofHours
02/04/2020,LS18,LS18 4,MUSIC,Out ofHours,Out ofHours
02/04/2020,LS8,LS8 5,MUSIC,Out ofHours,Out ofHours
02/04/2020,LS9,LS9 7,MUSIC,Out ofHours,Out ofHours
02/04/2020,LS3,LS3 1,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
02/04/2020,LS14,LS14 1,MUSIC,Out ofHours,Out ofHours
02/04/2020,LS23,LS23 6,MUSIC,Out ofHours,Out ofHours
02/04/2020,LS27,LS27 8,MUSIC,Out ofHours,Out ofHours
02/04/2020,LS17,LS17 7,MUSIC,Out ofHours,Out ofHours
02/04/2020,LS16,LS16 5,MUSIC,Out ofHours,Out ofHours
02/04/2020,LS9,LS9 6,MUSIC,Out ofHours,Out ofHours
02/04/2020,LS14,LS14 1,MUSIC,Out ofHours,Out ofHours
02/04/2020,LS12,LS12 5,MUSIC,Out ofHours,Out ofHours
02/04/2020,LS14,LS14 3,TV,Out ofHours,Out ofHours
02/04/2020,LS18,LS18 4,TV,Out ofHours,Out ofHours
02/04/2020,LS27,LS27 9,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
02/04/2020,LS6,LS6 3,MUSIC,Out ofHours,Out ofHours
02/04/2020,LS17,LS17 7,MUSIC,Out ofHours,Out ofHours
02/04/2020,LS6,LS6 3,MUSIC,Out ofHours,Out ofHours
02/04/2020,LS13,LS13 3,PARTY,Out ofHours,Out ofHours
02/04/2020,LS12,LS12 1,MUSIC,Out ofHours,Out ofHours
02/04/2020,LS4,LS4 2,MUSIC,Out ofHours,Out ofHours
02/04/2020,LS13,LS13 1,PARTY,Out ofHours,Out ofHours
02/04/2020,LS11,LS11 6,ALARM,Out ofHours,Out ofHours
02/04/2020,LS12,LS12 3,MUSIC,Out ofHours,Out ofHours
03/04/2020,LS13,LS13 3,MUSIC,Out ofHours,Out ofHours
03/04/2020,LS6,LS6 3,PARTY,Out ofHours,Out ofHours
03/04/2020,LS27,LS27 9,OTHER,Out ofHours,Out ofHours
03/04/2020,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
03/04/2020,LS11,LS11 7,MUSIC,Out ofHours,Out ofHours
03/04/2020,LS14,LS14 1,MUSIC,Out ofHours,Out ofHours
03/04/2020,BD1,BD1 1,MUSIC,Out ofHours,Out ofHours
03/04/2020,LS8,LS8 3,MUSIC,Out ofHours,Out ofHours
03/04/2020,LS14,LS14 1,MUSIC,Out ofHours,Out ofHours
03/04/2020,LS8,LS8 3,TV,Out ofHours,Out ofHours
03/04/2020,LS13,LS13 3,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
03/04/2020,LS11,LS11 7,MUSIC,Out ofHours,Out ofHours
03/04/2020,LS2,LS2 7,MUSIC,Out ofHours,Out ofHours
03/04/2020,LS17,LS17 6,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
03/04/2020,LS12,LS12 1,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
03/04/2020,LS11,LS11 6,MUSIC,Out ofHours,Out ofHours
03/04/2020,LS17,LS17 6,MUSIC,Out ofHours,Out ofHours
03/04/2020,LS12,LS12 1,MUSIC,Out ofHours,Out ofHours
03/04/2020,LS10,LS10 1,MUSIC,Out ofHours,Out ofHours
03/04/2020,LS11,LS11 0,PARTY,Out ofHours,Out ofHours
03/04/2020,LS15,LS15 9,MUSIC,Out ofHours,Out ofHours
03/04/2020,LS11,LS11 6,MUSIC,Out ofHours,Out ofHours
03/04/2020,LS13,LS13 4,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
03/04/2020,LS6,LS6 2,SHOUTING,Out ofHours,Out ofHours
03/04/2020,LS27,LS27 9,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
03/04/2020,LS6,LS6 3,PARTY,Out ofHours,Out ofHours
03/04/2020,LS6,LS6 4,PARTY,Out ofHours,Out ofHours
03/04/2020,LS11,LS11 9,MUSIC,Out ofHours,Out ofHours
03/04/2020,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
03/04/2020,LS10,LS10 3,MUSIC,Out ofHours,Out ofHours
03/04/2020,LS6,LS6 2,PARTY,Out ofHours,Out ofHours
03/04/2020,LS12,LS12 3,MUSIC,Out ofHours,Out ofHours
03/04/2020,LS5,LS5 3,MUSIC,Out ofHours,Out ofHours
03/04/2020,LS10,LS10 4,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
03/04/2020,LS14,LS14 6,MUSIC,Out ofHours,Out ofHours
03/04/2020,LS10,LS10 1,MUSIC,Out ofHours,Out ofHours
04/04/2020,LS9,LS9 6,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
04/04/2020,LS16,LS16 6,MUSIC,Out ofHours,Out ofHours
04/04/2020,LS9,LS9 8,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
04/04/2020,LS7,LS7 3,SHOUTING,Out ofHours,Out ofHours
04/04/2020,LS11,LS11 5,MUSIC,Out ofHours,Out ofHours
04/04/2020,LS8,LS8 1,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
04/04/2020,LS12,LS12 4,MUSIC,Out ofHours,Out ofHours
04/04/2020,LS5,LS5 3,PARTY,Out ofHours,Out ofHours
04/04/2020,LS6,LS6 3,MUSIC,Out ofHours,Out ofHours
04/04/2020,LS6,LS6 3,PARTY,Out ofHours,Out ofHours
04/04/2020,LS10,LS10 3,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
04/04/2020,LS4,LS4 2,BUILDING SITE,Out ofHours,Out ofHours
04/04/2020,LS14,LS14 1,MUSIC,Out ofHours,Out ofHours
04/04/2020,LS12,LS12 5,MUSIC,Out ofHours,Out ofHours
04/04/2020,LS9,LS9 8,MUSIC,Out ofHours,Out ofHours
04/04/2020,LS15,LS15 9,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
04/04/2020,LS6,LS6 2,MUSIC,Out ofHours,Out ofHours
04/04/2020,LS9,LS9 8,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
04/04/2020,LS10,LS10 1,MUSIC,Out ofHours,Out ofHours
04/04/2020,LS27,LS27 9,OTHER,Out ofHours,Out ofHours
04/04/2020,LS14,LS14 2,MUSIC,Out ofHours,Out ofHours
04/04/2020,LS4,LS4 2,PARTY,Out ofHours,Out ofHours
04/04/2020,LS13,LS13 4,SHOUTING,Out ofHours,Out ofHours
04/04/2020,LS8,LS8 1,MUSIC,Out ofHours,Out ofHours
