Created,Caller,Noise Postode,Type of Noise Causing a Nuisance,Sr_Num ,Enq Type
01/04/2022,LS8 ,LS8 3,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
01/04/2022,LS6 ,LS6 1,PARTY,Out ofHours,Out ofHours
01/04/2022,LS19 ,LS19 7,MUSIC,Out ofHours,Out ofHours
01/04/2022,LS3 ,LS3 1,MUSIC,Out ofHours,Out ofHours
01/04/2022,LS12 ,LS12 4,OTHER,Out ofHours,Out ofHours
01/04/2022,LS10 ,LS10 4,MUSIC,Out ofHours,Out ofHours
01/04/2022,LS8 ,LS8 1,MUSIC,Out ofHours,Out ofHours
01/04/2022,LS28 ,LS28 7,MUSIC,Out ofHours,Out ofHours
01/04/2022,LS8 ,LS8 3,MUSIC,Out ofHours,Out ofHours
01/04/2022,LS10 ,LS10 2,MUSIC,Out ofHours,Out ofHours
01/04/2022,WF3 ,WF3 2,PARTY,Out ofHours,Out ofHours
01/04/2022,WF3 ,WF3 2,MUSIC,Out ofHours,Out ofHours
01/04/2022,LS18 ,LS18 5,MUSIC,Out ofHours,Out ofHours
01/04/2022,LS13 ,LS13 2,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
01/04/2022,LS17 ,LS17 7,DOG BARKING,Out ofHours,Out ofHours
01/04/2022,LS13 ,LS13 3,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
01/04/2022,LS13 ,LS13 2,MUSIC,Out ofHours,Out ofHours
01/04/2022,LS13 ,LS13 2,MUSIC,Out ofHours,Out ofHours
01/04/2022,LS4 ,LS4 2,PARTY,Out ofHours,Out ofHours
01/04/2022,LS12 ,LS12 4,MUSIC,Out ofHours,Out ofHours
01/04/2022,LS25 ,LS25 2,MUSIC,Out ofHours,Out ofHours
01/04/2022,LS8 ,LS8 1,DIY,Out ofHours,Out ofHours
01/04/2022,LS10 ,LS10 4,MUSIC,Out ofHours,Out ofHours
01/04/2022,LS14 ,LS14 5,MUSIC,Out ofHours,Out ofHours
01/04/2022,LS12 ,LS12 2,MUSIC,Out ofHours,Out ofHours
02/04/2022,LS27 ,LS27 2,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
02/04/2022,LS18 ,LS18 4,SHOUTING,Out ofHours,Out ofHours
02/04/2022,LS6 ,LS6 1,PARTY,Out ofHours,Out ofHours
02/04/2022,LS6 ,LS6 1,SHOUTING,Out ofHours,Out ofHours
02/04/2022,LS6 ,LS6 3,MUSIC,Out ofHours,Out ofHours
02/04/2022,LS6 ,LS6 1,MUSIC,Out ofHours,Out ofHours
02/04/2022,LS14 ,LS14 5,MUSIC,Out ofHours,Out ofHours
02/04/2022,LS11 ,LS11 9,MUSIC,Out ofHours,Out ofHours
02/04/2022,LS7 ,LS7 4,MUSIC,Out ofHours,Out ofHours
02/04/2022,LS6 ,LS6 1,MUSIC,Out ofHours,Out ofHours
02/04/2022,LS6 ,LS6 2,MUSIC,Out ofHours,Out ofHours
02/04/2022,LS6 ,LS6 1,MUSIC,Out ofHours,Out ofHours
02/04/2022,LS12 ,LS12 2,MUSIC,Out ofHours,Out ofHours
02/04/2022,LS6 ,LS6 1,MUSIC,Out ofHours,Out ofHours
02/04/2022,LS28 ,LS28 7,MUSIC,Out ofHours,Out ofHours
02/04/2022,LS10 ,LS10 2,MUSIC,Out ofHours,Out ofHours
02/04/2022,LS12 ,LS12 1,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
02/04/2022,LS26 ,LS26 8,MUSIC,Out ofHours,Out ofHours
02/04/2022,LS26,LS260,MUSIC,Out ofHours,Out ofHours
02/04/2022,LS14 ,LS14 1,DOG BARKING,Out ofHours,Out ofHours
02/04/2022,LS6 ,LS6 1,MUSIC,Out ofHours,Out ofHours
02/04/2022,LS14 ,LS14 1,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
02/04/2022,WF3 ,WF3 1,MUSIC,Out ofHours,Out ofHours
02/04/2022,LS7 ,LS7 3,MUSIC,Out ofHours,Out ofHours
02/04/2022,LS7 ,LS7 3,MUSIC,Out ofHours,Out ofHours
02/04/2022,LS28 ,LS28 7,MUSIC,Out ofHours,Out ofHours
02/04/2022,LS10 ,LS10 3,MUSIC,Out ofHours,Out ofHours
02/04/2022,LS12 ,LS12 3,MUSIC,Out ofHours,Out ofHours
02/04/2022,LS9 ,LS9 0,PARTY,Out ofHours,Out ofHours
