Created,Caller Postcode,Noise type
30/06/2017 23:55,LS9 6,MUSIC
30/06/2017 23:10,LS8 3,MUSIC
30/06/2017 22:51,LS9 9,PARTY
30/06/2017 22:28,LS13 4,MUSIC
30/06/2017 21:57,BD11 1,DOG BARKING
30/06/2017 21:35,LS8 3,MUSIC
30/06/2017 21:03,LS18 5,ALARM
30/06/2017 20:00,LS13 3,MUSIC
30/06/2017 19:56,LS5 3,ALARM
30/06/2017 19:55,LS4 2,ALARM
30/06/2017 19:50,LS13 4,MUSIC
30/06/2017 19:13,LS14 5,MUSIC
30/06/2017 19:10,LS9 7,MUSIC
30/06/2017 19:04,LS5 3,ALARM
30/06/2017 18:34,LS12 2,DOG BARKING
30/06/2017 18:18,LS8 5,MUSIC
30/06/2017 18:16,LS9 7,MUSIC
30/06/2017 18:03,LS13 4,MUSIC
30/06/2017 03:32,LS7 3,MUSIC
30/06/2017 02:59,LS27 8,MUSIC
30/06/2017 02:48,LS12 3,DOG BARKING
30/06/2017 01:06,WF3 1,OTHER
30/06/2017 00:38,LS13 4,MUSIC
29/06/2017 23:46,LS28 7,MUSIC
29/06/2017 23:36,LS4 2,MUSIC
29/06/2017 23:31,LS14 1,MUSIC
29/06/2017 22:35,LS8 5,MUSIC
29/06/2017 22:15,LS7 4,MUSIC
29/06/2017 21:37,LS14 1,TV
29/06/2017 21:24,WF3 2,BANGING ON WALLS/CEILING/FLOOR
29/06/2017 21:15,LS11 8,MUSIC
29/06/2017 20:57,LS14 6,BANGING ON WALLS/CEILING/FLOOR
29/06/2017 20:33,LS10 4,BANGING ON WALLS/CEILING/FLOOR
29/06/2017 19:59,LS10 4,MUSIC
29/06/2017 18:58,LS8 5,MUSIC
29/06/2017 18:49,LS9 7,DIY
29/06/2017 18:05,LS13 1,SHOUTING
29/06/2017 01:18,LS26 8,MUSIC
28/06/2017 23:26,LS27 8,SHOUTING
28/06/2017 21:13,LS9 7,MUSIC
28/06/2017 20:39,LS9 7,MUSIC
28/06/2017 19:18,LS18 4,SHOUTING
28/06/2017 18:36,LS11 0,MUSIC
28/06/2017 01:24,BD11 1,DOG BARKING
28/06/2017 00:06,WF3 1,OTHER
27/06/2017 23:32,LS8 1,BANGING ON WALLS/CEILING/FLOOR
27/06/2017 23:21,LS6 2,MUSIC
27/06/2017 23:03,LS17 5,TV
27/06/2017 19:59,LS6 1,MUSIC
27/06/2017 19:32,LS14 1,MUSIC
27/06/2017 19:02,LS6 1,ALARM
27/06/2017 18:43,LS14 6,DOG BARKING
27/06/2017 07:21,LS17 8,BANGING ON WALLS/CEILING/FLOOR
27/06/2017 02:41,WF3 1,OTHER
27/06/2017 02:08,WF3 1,SHOUTING
27/06/2017 01:54,LS2 9,PARTY
27/06/2017 01:40,LS6 1,MUSIC
27/06/2017 01:00,LS13 1,MUSIC
26/06/2017 23:47,LS14 1,TV
