Created,Caller Postcode,Accused,Type of Noise Causing a Nuisance,Sr_Num ,Enq Type
01-Apr-24,LS17 ,LS17 5,Loud Music,Out ofHours,Out ofHours
01-Apr-24,LS4 ,LS4,Alarm,Out ofHours,Out ofHours
01-Apr-24,LS9 ,LS9 6,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
01-Apr-24,LS7 ,LS7 2,Shouting,Out ofHours,Out ofHours
01-Apr-24,LS15 ,LS15 7,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
01-Apr-24,LS8 ,LS8 3,Loud Music,Out ofHours,Out ofHours
01-Apr-24,LS6 ,LS6 4,Loud Music,Out ofHours,Out ofHours
01-Apr-24,LS6 ,LS6 3,Party,Out ofHours,Out ofHours
01-Apr-24,LS8 ,LS8 2,DIY,Out ofHours,Out ofHours
01-Apr-24,LS12 ,LS12 3,Loud Music,Out ofHours,Out ofHours
01-Apr-24,LS9 ,LS9,Loud Music,Out ofHours,Out ofHours
01-Apr-24,LS11 ,LS11 7,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
01-Apr-24,LS9 ,LS9 7,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
01-Apr-24,LS9 ,LS9 7,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
01-Apr-24,LS12 ,LS12 3,Loud Music,Out ofHours,Out ofHours
01-Apr-24,LS10 ,LS10 3,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
01-Apr-24,LS11 ,LS11 7,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
01-Apr-24,LS11 ,LS11 6,Loud Music,Out ofHours,Out ofHours
01-Apr-24,LS8 ,LS8 5,Loud Music,Out ofHours,Out ofHours
01-Apr-24,WF3 ,WF3 1,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
01-Apr-24,LS26 ,LS26 0,TV,Out ofHours,Out ofHours
02-Apr-24,LS7 ,LS7 3,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
02-Apr-24,LS10 ,LS10 3,Shouting,Out ofHours,Out ofHours
02-Apr-24,LS12 ,LS12 2,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
02-Apr-24,LS21 ,LS21 3,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
02-Apr-24,LS9 ,LS9 6,Shouting,Out ofHours,Out ofHours
02-Apr-24,LS15 ,LS15 0,Shouting,Out ofHours,Out ofHours
02-Apr-24,LS14 ,LS14 6,TV,Out ofHours,Out ofHours
02-Apr-24,LS26 ,LS26 0,Loud Music,Out ofHours,Out ofHours
02-Apr-24,LS8 ,LS8 3,Dog Barking,Out ofHours,Out ofHours
02-Apr-24,LS9 ,LS9 7,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
02-Apr-24,LS14,LS14 1,Loud Music,Out ofHours,Out ofHours
02-Apr-24,LS11 ,LS11 6,Loud Music,Out ofHours,Out ofHours
02-Apr-24,LS12 ,LS12 2,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
02-Apr-24,LS12 ,LS12 5,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
03-Apr-24,LS12 ,LS12 2,Loud Music,Out ofHours,Out ofHours
03-Apr-24,LS11 ,LS11 5,TV,Out ofHours,Out ofHours
03-Apr-24,LS7 ,LS7 3,Loud Music,Out ofHours,Out ofHours
03-Apr-24,LS14 ,LS14 6,Building Site,Out ofHours,Out ofHours
03-Apr-24,LS14 ,LS14 1,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
03-Apr-24,LS12 ,LS12 3,Loud Music,Out ofHours,Out ofHours
03-Apr-24,LS8 ,LS8 3,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
03-Apr-24,LS12 ,LS12,Loud Music,Out ofHours,Out ofHours
03-Apr-24,LS28 ,LS28 8,Dog Barking,Out ofHours,Out ofHours
04-Apr-24,LS9 ,LS9 7,Loud Music,Out ofHours,Out ofHours
04-Apr-24,LS14 ,LS14 1,Loud Music,Out ofHours,Out ofHours
04-Apr-24,LS11 ,LS11 8,Shouting,Out ofHours,Out ofHours
04-Apr-24,LS9 ,LS9 7,Shouting,Out ofHours,Out ofHours
04-Apr-24,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
04-Apr-24,LS27,LS27 8,Loud Music,Out ofHours,Out ofHours
04-Apr-24,LS10 ,LS10 3,Loud Music,Out ofHours,Out ofHours
04-Apr-24,LS7,LS7 4,Loud Music,Out ofHours,Out ofHours
04-Apr-24,LS9 ,LS9 7,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
04-Apr-24,LS8,LS8 5,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
04-Apr-24,LS12 ,LS12 3,Loud Music,Out ofHours,Out ofHours
04-Apr-24,LS11,LS11 6,Shouting,Out ofHours,Out ofHours
04-Apr-24,LS27 ,LS27 7,Loud Music,Out ofHours,Out ofHours
04-Apr-24,LS10 ,LS10 3,Shouting,Out ofHours,Out ofHours
04-Apr-24,LS28 ,LS28 8,Dog Barking,Out ofHours,Out ofHours
04-Apr-24,LS2,LS2,Party,Out ofHours,Out ofHours
04-Apr-24,LS16 ,LS16 7,Loud Music,Out ofHours,Out ofHours
04-Apr-24,LS9,LS9 7,Loud Music,Out ofHours,Out ofHours
04-Apr-24,LS15 ,LS15 7,Loud Music,Out ofHours,Out ofHours
04-Apr-24,LS2,LS27,Party,Out ofHours,Out ofHours
05-Apr-24,LS15 ,LS15 7,Party,Out ofHours,Out ofHours
05-Apr-24,LS10,LS10 3,Shouting,Out ofHours,Out ofHours
05-Apr-24,LS12 ,LS12 3,Loud Music,Out ofHours,Out ofHours
05-Apr-24,LS26,LS26 0,TV,Out ofHours,Out ofHours
05-Apr-24,LS13,LS13 2,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
05-Apr-24,LS1,LS1,DIY,Out ofHours,Out ofHours
05-Apr-24,LS27,LS27 0,Loud Music,Out ofHours,Out ofHours
05-Apr-24,LS15,LS15 0,Loud Music,Out ofHours,Out ofHours
05-Apr-24,LS13 ,LS13 2,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
05-Apr-24,LS27 ,LS27 7,Loud Music,Out ofHours,Out ofHours
05-Apr-24,LS16 ,LS16 6,DIY,Out ofHours,Out ofHours
05-Apr-24,LS10 ,LS10 4,Loud Music,Out ofHours,Out ofHours
05-Apr-24,LS10 ,LS10 4,Loud Music,Out ofHours,Out ofHours
05-Apr-24,LS21 ,LS21 3,Alarm,Out ofHours,Out ofHours
05-Apr-24,LS14 ,LS14 6,TV,Out ofHours,Out ofHours
05-Apr-24,WF3 ,WF3 2,Loud Music,Out ofHours,Out ofHours
05-Apr-24,LS12 ,LS12 4,Alarm,Out ofHours,Out ofHours
05-Apr-24,LS11 ,LS11 5,TV,Out ofHours,Out ofHours
05-Apr-24,LS14 ,LS14 1,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
05-Apr-24,LS18 ,LS18 5,DIY,Out ofHours,Out ofHours
05-Apr-24,LS3 ,LS3 1,Shouting,Out ofHours,Out ofHours
05-Apr-24,WF3 ,WF3 1,Shouting,Out ofHours,Out ofHours
05-Apr-24,LS4 ,LS4 2,Loud Music,Out ofHours,Out ofHours
05-Apr-24,LS12 ,LS12 1,Loud Music,Out ofHours,Out ofHours
05-Apr-24,LS9 ,LS9 9,Loud Music,Out ofHours,Out ofHours
05-Apr-24,LS14 ,LS14 6,Party,Out ofHours,Out ofHours
06-Apr-24,LS8 ,LS8 1,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
06-Apr-24,LS9 ,LS9 6,Loud Music,Out ofHours,Out ofHours
06-Apr-24,LS11 ,LS11 8,TV,Out ofHours,Out ofHours
06-Apr-24,LS6 ,LS6 ,Loud Music,Out ofHours,Out ofHours
06-Apr-24,LS7 ,LS7 3,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
06-Apr-24,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
06-Apr-24,LS10 ,LS10 2,Loud Music,Out ofHours,Out ofHours
06-Apr-24,LS14 ,LS14 1,Loud Music,Out ofHours,Out ofHours
06-Apr-24,LS15 ,LS15 0,Shouting,Out ofHours,Out ofHours
