Created,Caller Postcode,Accused Postcode,Type of Noise Causing a Nuisance,Sr_Num ,Enq Type
01/08/2024,LS13 ,LS13 1,Shouting,Out ofHours,Out ofHours
01/08/2024,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
01/08/2024,LS7 ,LS7 4,Loud Music,Out ofHours,Out ofHours
01/08/2024,LS14 ,LS14 1,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
01/08/2024,LS11 ,LS11,Loud Music,Out ofHours,Out ofHours
01/08/2024,LS11 ,LS11 5,Shouting,Out ofHours,Out ofHours
01/08/2024,LS9 ,LS9 6,Loud Music,Out ofHours,Out ofHours
01/08/2024,LS9 ,LS9 6,Loud Music,Out ofHours,Out ofHours
01/08/2024,LS17 ,LS17 8,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
01/08/2024,LS12,LS12,Party,Out ofHours,Out ofHours
01/08/2024,LS12 5,BD11,Loud Music,Out ofHours,Out ofHours
01/08/2024,LS26 0,LS12,Building Site,Out ofHours,Out ofHours
01/08/2024,LS12 5,LS9,Loud Music,Out ofHours,Out ofHours
01/08/2024,LS8 4,LS211,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
01/08/2024,LS10 1,BD11 1,Loud Music,Out ofHours,Out ofHours
01/08/2024,LS8 2,LS7 1,Loud Music,Out ofHours,Out ofHours
01/08/2024,LS12 ,LS12 5,Loud Music,Out ofHours,Out ofHours
01/08/2024,LS18 ,LS18 5,DIY,Out ofHours,Out ofHours
01/08/2024,LS11 ,LS11,Loud Music,Out ofHours,Out ofHours
01/08/2024,LS10 ,LS10,Loud Music,Out ofHours,Out ofHours
01/08/2024,LS8 ,LS8 1,TV,Out ofHours,Out ofHours
01/08/2024,LS14 ,LS14 5,Loud Music,Out ofHours,Out ofHours
01/08/2024,BD11 ,BD11 1,Loud Music,Out ofHours,Out ofHours
01/08/2024,LS7 ,LS7 3,Shouting,Out ofHours,Out ofHours
01/08/2024,LS6 ,LS6,Shouting,Out ofHours,Out ofHours
01/08/2024,LS8 ,LS8 1,Loud Music,Out ofHours,Out ofHours
01/08/2024,LS5 ,LS6,Loud Music,Out ofHours,Out ofHours
01/08/2024,LS8 ,LS8 4,DIY,Out ofHours,Out ofHours
01/08/2024,LS16 ,LS16 7,Loud Music,Out ofHours,Out ofHours
02/08/2024,LS28 ,LS28 8,Loud Music,Out ofHours,Out ofHours
02/08/2024,LS12 ,LS12 2,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
02/08/2024,LS11 ,LS11 8,TV,Out ofHours,Out ofHours
02/08/2024,LS12,LS12 5,Loud Music,Out ofHours,Out ofHours
02/08/2024,LS16 ,LS16 5,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
02/08/2024,LS7 ,LS7 2,Loud Music,Out ofHours,Out ofHours
02/08/2024,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
02/08/2024,LS17 ,LS17 5,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
02/08/2024,LS11 ,LS11 8,Loud Music,Out ofHours,Out ofHours
02/08/2024,LS28 ,LS28 8,Dog Barking,Out ofHours,Out ofHours
02/08/2024,LS26 ,LS26 0,Loud Music,Out ofHours,Out ofHours
02/08/2024,LS12 ,LS12 1,Loud Music,Out ofHours,Out ofHours
02/08/2024,LS7 ,LS7 1,Loud Music,Out ofHours,Out ofHours
02/08/2024,LS9 ,LS9 0,Loud Music,Out ofHours,Out ofHours
02/08/2024,LS8 ,LS8 4,Alarm,Out ofHours,Out ofHours
02/08/2024,LS9 ,LS9 0,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
02/08/2024,LS7 ,LS7 2,Party,Out ofHours,Out ofHours
02/08/2024,LS9 ,LS9,Loud Music,Out ofHours,Out ofHours
02/08/2024,LS9 ,LS9 9,Loud Music,Out ofHours,Out ofHours
02/08/2024,LS6 ,LS6 2,Dog Barking,Out ofHours,Out ofHours
02/08/2024,LS11 ,LS11 8,Loud Music,Out ofHours,Out ofHours
02/08/2024,WF3 ,WF3 2,Loud Music,Out ofHours,Out ofHours
03/08/2024,LS6 ,LS6 2,Dog Barking,Out ofHours,Out ofHours
03/08/2024,LS6 ,LS6 1,Party,Out ofHours,Out ofHours
03/08/2024,LS12 ,LS12 2,Party,Out ofHours,Out ofHours
03/08/2024,LS7 ,LS7,Party,Out ofHours,Out ofHours
03/08/2024,LS8 ,LS8 3,Loud Music,Out ofHours,Out ofHours
03/08/2024,LS6 ,LS6 1,Party,Out ofHours,Out ofHours
03/08/2024,LS11 ,LS11 7,Loud Music,Out ofHours,Out ofHours
03/08/2024,LS11 ,LS11 6,Loud Music,Out ofHours,Out ofHours
03/08/2024,LS14 ,LS14 1,Loud Music,Out ofHours,Out ofHours
03/08/2024,LS12 ,LS12 2,Loud Music,Out ofHours,Out ofHours
03/08/2024,LS28 ,LS28 5,Loud Music,Out ofHours,Out ofHours
03/08/2024,LS13 ,LS13 4,Loud Music,Out ofHours,Out ofHours
03/08/2024,LS26 ,LS26 0,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
03/08/2024,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
03/08/2024,LS27 ,LS27 8,Loud Music,Out ofHours,Out ofHours
03/08/2024,LS14 ,LS14 1,Loud Music,Out ofHours,Out ofHours
03/08/2024,LS21 ,LS21 2,Loud Music,Out ofHours,Out ofHours
03/08/2024,LS10 ,LS10 1,Loud Music,Out ofHours,Out ofHours
03/08/2024,LS11 ,LS11 7,Loud Music,Out ofHours,Out ofHours
03/08/2024,LS10 ,LS10 4,Loud Music,Out ofHours,Out ofHours
03/08/2024,LS12 ,LS12 1,Loud Music,Out ofHours,Out ofHours
03/08/2024,LS7 ,LS7,Loud Music,Out ofHours,Out ofHours
03/08/2024,LS17 ,LS17,Party,Out ofHours,Out ofHours
03/08/2024,LS10 ,LS10,Loud Music,Out ofHours,Out ofHours
03/08/2024,LS8 ,LS8 3,Dog Barking,Out ofHours,Out ofHours
03/08/2024,LS28 ,LS28 5,Party,Out ofHours,Out ofHours
03/08/2024,LS12 ,LS12 2,Loud Music,Out ofHours,Out ofHours
03/08/2024,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
03/08/2024,LS14 ,LS14 5,TV,Out ofHours,Out ofHours
03/08/2024,LS13 ,LS13 3,Loud Music,Out ofHours,Out ofHours
03/08/2024,LS12 ,LS12 1,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
03/08/2024,LS11 ,LS11 5,Loud Music,Out ofHours,Out ofHours
03/08/2024,LS13 ,LS13 4,Loud Music,Out ofHours,Out ofHours
03/08/2024,LS11 ,LS11 5,Loud Music,Out ofHours,Out ofHours
03/08/2024,LS2 ,LS2 9,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
03/08/2024,LS16 ,LS16 6,Shouting,Out ofHours,Out ofHours
03/08/2024,LS9 ,LS9 7,Shouting,Out ofHours,Out ofHours
03/08/2024,LS17 ,LS17 5,Party,Out ofHours,Out ofHours
03/08/2024,LS8 ,LS8 2,Party,Out ofHours,Out ofHours
03/08/2024,LS10 ,LS10,Alarm,Out ofHours,Out ofHours
03/08/2024,LS27 ,LS27 8,Shouting,Out ofHours,Out ofHours
03/08/2024,LS8 ,LS8,Party,Out ofHours,Out ofHours
03/08/2024,LS12 ,LS12 4,Party,Out ofHours,Out ofHours
03/08/2024,LS7 ,LS7 4,Loud Music,Out ofHours,Out ofHours
03/08/2024,WF3 ,WF3 2,Party,Out ofHours,Out ofHours
03/08/2024,LS13 ,LS13 4,Loud Music,Out ofHours,Out ofHours
03/08/2024,LS14 ,LS14 6,Loud Music,Out ofHours,Out ofHours
04/08/2024,LS10 ,LS10 1,Alarm,Out ofHours,Out ofHours
04/08/2024,LS5 ,LS5 3,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
04/08/2024,LS11 ,LS11 7,Loud Music,Out ofHours,Out ofHours
04/08/2024,LS17 ,LS17,Party,Out ofHours,Out ofHours
04/08/2024,LS11 ,LS11 0,Loud Music,Out ofHours,Out ofHours
04/08/2024,LS10 ,LS10 3,Shouting,Out ofHours,Out ofHours
04/08/2024,LS14 ,LS14 6,Loud Music,Out ofHours,Out ofHours
04/08/2024,LS28 ,LS28 7,Loud Music,Out ofHours,Out ofHours
04/08/2024,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
04/08/2024,LS15 ,LS15 9,Shouting,Out ofHours,Out ofHours
04/08/2024,LS6 ,LS6 ,Loud Music,Out ofHours,Out ofHours
04/08/2024,LS11 ,LS11 0,Party,Out ofHours,Out ofHours
04/08/2024,LS17 ,LS17 5,Party,Out ofHours,Out ofHours
04/08/2024,LS8 ,LS8 3,Party,Out ofHours,Out ofHours
04/08/2024,LS13 ,LS13 2,Shouting,Out ofHours,Out ofHours
04/08/2024,LS8 ,LS8 3,Loud Music,Out ofHours,Out ofHours
04/08/2024,LS7 ,LS7 2,Party,Out ofHours,Out ofHours
04/08/2024,LS8 ,LS8 ,Loud Music,Out ofHours,Out ofHours
04/08/2024,LS17 ,LS17 6,Loud Music,Out ofHours,Out ofHours
04/08/2024,LS13 ,LS13 4,Loud Music,Out ofHours,Out ofHours
04/08/2024,LS17 ,LS17 5,Please select,Out ofHours,Out ofHours
04/08/2024,LS10 ,LS10 3,Loud Music,Out ofHours,Out ofHours
04/08/2024,LS8 ,LS8,Loud Music,Out ofHours,Out ofHours
04/08/2024,LS11 ,LS11,Loud Music,Out ofHours,Out ofHours
04/08/2024,LS9 ,LS9 0,Loud Music,Out ofHours,Out ofHours
04/08/2024,LS8 ,LS8 ,Loud Music,Out ofHours,Out ofHours
04/08/2024,LS17 ,LS17,Party,Out ofHours,Out ofHours
05/08/2024,LS11 ,LS11 7,Loud Music,Out ofHours,Out ofHours
05/08/2024,LS9 ,LS9,Party,Out ofHours,Out ofHours
05/08/2024,WF3 ,WF3 2,Loud Music,Out ofHours,Out ofHours
05/08/2024,LS16 ,LS16 7,Alarm,Out ofHours,Out ofHours
05/08/2024,WF3 ,WF3 2,TV,Out ofHours,Out ofHours
05/08/2024,LS28 ,LS28 8,Shouting,Out ofHours,Out ofHours
05/08/2024,LS14 ,LS14,Building Site,Out ofHours,Out ofHours
05/08/2024,LS12 ,LS12 5,Shouting,Out ofHours,Out ofHours
05/08/2024,LS14 ,LS14 1,Loud Music,Out ofHours,Out ofHours
05/08/2024,LS12 ,LS12 5,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
05/08/2024,LS16 ,LS16 6,TV,Out ofHours,Out ofHours
06/08/2024,LS6 ,LS6 3,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
06/08/2024,LS14 ,LS14 1,Shouting,Out ofHours,Out ofHours
06/08/2024,LS27 ,LS27 7,Alarm,Out ofHours,Out ofHours
06/08/2024,LS11 ,LS11 0,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
06/08/2024,LS18 ,LS18 4,Loud Music,Out ofHours,Out ofHours
06/08/2024,LS10 ,LS10 2,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
06/08/2024,LS9 ,LS9 6,Loud Music,Out ofHours,Out ofHours
06/08/2024,LS8 ,LS8 5,Loud Music,Out ofHours,Out ofHours
06/08/2024,LS13 ,LS13 4,Loud Music,Out ofHours,Out ofHours
06/08/2024,LS27 ,LS27 7,Loud Music,Out ofHours,Out ofHours
06/08/2024,LS16 ,LS16 6,TV,Out ofHours,Out ofHours
06/08/2024,LS9 ,LS9 6,Loud Music,Out ofHours,Out ofHours
07/08/2024,LS5 ,LS5 3,Loud Music,Out ofHours,Out ofHours
07/08/2024,LS17 ,LS17 5,Loud Music,Out ofHours,Out ofHours
07/08/2024,LS1 ,LS1 4,Alarm,Out ofHours,Out ofHours
07/08/2024,LS14 ,LS14 1,Loud Music,Out ofHours,Out ofHours
07/08/2024,LS6 ,LS6 1,Building Site,Out ofHours,Out ofHours
07/08/2024,LS27 ,LS27 7,Alarm,Out ofHours,Out ofHours
07/08/2024,LS16 ,LS16 5,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
07/08/2024,LS13 ,LS13 3,Loud Music,Out ofHours,Out ofHours
07/08/2024,LS12 ,LS12 3,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
07/08/2024,LS19 ,LS19 7,Dog Barking,Out ofHours,Out ofHours
07/08/2024,LS11 ,LS11 0,Loud Music,Out ofHours,Out ofHours
07/08/2024,LS2 ,LS2 9,Loud Music,Out ofHours,Out ofHours
08/08/2024,LS8 ,LS8 3,Loud Music,Out ofHours,Out ofHours
08/08/2024,LS9 ,LS9 7,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
08/08/2024,LS6 ,LS9 1,Party,Out ofHours,Out ofHours
08/08/2024,LS17 ,LS17 5,Loud Music,Out ofHours,Out ofHours
08/08/2024,LS11 ,LS11 0,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
08/08/2024,LS14 ,LS14 1,Shouting,Out ofHours,Out ofHours
08/08/2024,LS14 ,LS14 6,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
08/08/2024,LS9 ,LS9 9,Loud Music,Out ofHours,Out ofHours
08/08/2024,LS8 ,LS8 3,Loud Music,Out ofHours,Out ofHours
08/08/2024,LS9 ,LS9 0,Loud Music,Out ofHours,Out ofHours
08/08/2024,LS11 ,LS11 9,Loud Music,Out ofHours,Out ofHours
09/08/2024,LS13 ,LS13 4,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
09/08/2024,LS6 ,LS6 3,Alarm,Out ofHours,Out ofHours
09/08/2024,LS15 ,LS15 0,Loud Music,Out ofHours,Out ofHours
09/08/2024,LS26 ,LS26 0,Shouting,Out ofHours,Out ofHours
09/08/2024,LS9 ,LS9 6,Shouting,Out ofHours,Out ofHours
09/08/2024,LS3 ,LS3 1,Shouting,Out ofHours,Out ofHours
09/08/2024,LS6 ,LS6 1,DIY,Out ofHours,Out ofHours
09/08/2024,LS15 ,LS15 9,Party,Out ofHours,Out ofHours
09/08/2024,LS7 ,LS7 3,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
09/08/2024,LS16 ,LS16 5,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
09/08/2024,LS11 ,LS11 5,Loud Music,Out ofHours,Out ofHours
09/08/2024,LS11 ,LS11,Loud Music,Out ofHours,Out ofHours
09/08/2024,LS11 ,LS11 5,Loud Music,Out ofHours,Out ofHours
09/08/2024,LS13 ,LS13 3,Loud Music,Out ofHours,Out ofHours
09/08/2024,LS6 ,LS6,Loud Music,Out ofHours,Out ofHours
09/08/2024,LS7 ,LS7 3,Loud Music,Out ofHours,Out ofHours
09/08/2024,LS16 ,LS16 9,Loud Music,Out ofHours,Out ofHours
09/08/2024,LS16 ,LS16 6,TV,Out ofHours,Out ofHours
09/08/2024,LS11 ,LS11,Dog Barking,Out ofHours,Out ofHours
10/08/2024,LS9 ,LS9,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
10/08/2024,LS27 ,LS27 2,Loud Music,Out ofHours,Out ofHours
10/08/2024,LS9 ,LS9 7,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
10/08/2024,LS14 ,LS14 2,Loud Music,Out ofHours,Out ofHours
10/08/2024,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
10/08/2024,LS27 ,LS27 8,Loud Music,Out ofHours,Out ofHours
10/08/2024,LS6 ,LS6 4,Loud Music,Out ofHours,Out ofHours
10/08/2024,LS9 ,LS9 9,Loud Music,Out ofHours,Out ofHours
10/08/2024,LS10 ,LS10,Loud Music,Out ofHours,Out ofHours
10/08/2024,LS7 ,LS7 3,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
10/08/2024,LS8 ,LS8 5,Loud Music,Out ofHours,Out ofHours
10/08/2024,LS11 ,LS11 9,Loud Music,Out ofHours,Out ofHours
10/08/2024,LS15 ,LS15 0,Loud Music,Out ofHours,Out ofHours
10/08/2024,LS12 ,LS12,DIY,Out ofHours,Out ofHours
10/08/2024,LS6 ,LS6,Loud Music,Out ofHours,Out ofHours
10/08/2024,LS11 ,LS11 5,Loud Music,Out ofHours,Out ofHours
10/08/2024,LS14 ,LS14 6,Loud Music,Out ofHours,Out ofHours
10/08/2024,LS11 ,LS11 9,Loud Music,Out ofHours,Out ofHours
10/08/2024,LS11 ,LS11 9,Loud Music,Out ofHours,Out ofHours
10/08/2024,LS28 ,LS28,Dog Barking,Out ofHours,Out ofHours
10/08/2024,LS28 ,LS28,Dog Barking,Out ofHours,Out ofHours
10/08/2024,LS28 ,LS28,Dog Barking,Out ofHours,Out ofHours
10/08/2024,LS29 ,LS29 6,Party,Out ofHours,Out ofHours
10/08/2024,LS11 ,LS11,Loud Music,Out ofHours,Out ofHours
10/08/2024,LS11 ,LS11 9,Loud Music,Out ofHours,Out ofHours
10/08/2024,LS19 ,LS19 7,Dog Barking,Out ofHours,Out ofHours
10/08/2024,LS22 ,LS22,Loud Music,Out ofHours,Out ofHours
10/08/2024,LS16 ,LS16 5,Loud Music,Out ofHours,Out ofHours
10/08/2024,LS16 ,LS16,Loud Music,Out ofHours,Out ofHours
10/08/2024,LS12 ,LS12 3,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
10/08/2024,LS13 ,LS13 4,Loud Music,Out ofHours,Out ofHours
10/08/2024,LS15 ,LS15 7,Loud Music,Out ofHours,Out ofHours
10/08/2024,LS25 ,LS25 1,Dog Barking,Out ofHours,Out ofHours
10/08/2024,LS16 ,LS16 6,TV,Out ofHours,Out ofHours
10/08/2024,LS7 ,LS7 4,Party,Out ofHours,Out ofHours
10/08/2024,LS11 ,LS11 9,Loud Music,Out ofHours,Out ofHours
10/08/2024,LS15 ,LS15 4,Loud Music,Out ofHours,Out ofHours
11/08/2024,LS8 ,LS8 2,Loud Music,Out ofHours,Out ofHours
11/08/2024,LS6 ,LS6,Loud Music,Out ofHours,Out ofHours
11/08/2024,LS11 ,LS11 ,Loud Music,Out ofHours,Out ofHours
11/08/2024,LS14 ,LS14 5,Shouting,Out ofHours,Out ofHours
11/08/2024,LS17 ,LS17 5,Party,Out ofHours,Out ofHours
11/08/2024,LS11 ,LS11,Loud Music,Out ofHours,Out ofHours
11/08/2024,LS7 ,LS7 4,Loud Music,Out ofHours,Out ofHours
11/08/2024,LS25 ,LS25 4,Loud Music,Out ofHours,Out ofHours
11/08/2024,LS6 ,LS6 2,Loud Music,Out ofHours,Out ofHours
11/08/2024,LS14 ,LS14 5,Please select,Out ofHours,Out ofHours
11/08/2024,LS4 ,LS4,Loud Music,Out ofHours,Out ofHours
11/08/2024,LS14 ,LS14 1,Shouting,Out ofHours,Out ofHours
11/08/2024,LS12 ,LS12 5,Loud Music,Out ofHours,Out ofHours
11/08/2024,LS12 ,LS12 2,Alarm,Out ofHours,Out ofHours
11/08/2024,LS14 ,LS14 ,TV,Out ofHours,Out ofHours
11/08/2024,LS2 ,LS2 7,Loud Music,Out ofHours,Out ofHours
11/08/2024,LS7 ,LS7 4,Loud Music,Out ofHours,Out ofHours
11/08/2024,LS9 ,LS9 9,Loud Music,Out ofHours,Out ofHours
11/08/2024,LS7 ,LS7 3,Loud Music,Out ofHours,Out ofHours
11/08/2024,LS8 ,LS8 3,Loud Music,Out ofHours,Out ofHours
11/08/2024,LS11 ,LS11 7,Loud Music,Out ofHours,Out ofHours
11/08/2024,LS12 ,LS12 3,Loud Music,Out ofHours,Out ofHours
11/08/2024,LS14 ,LS14 6,Loud Music,Out ofHours,Out ofHours
11/08/2024,LS11 ,LS11 7,Loud Music,Out ofHours,Out ofHours
11/08/2024,LS19 ,LS19 7,Dog Barking,Out ofHours,Out ofHours
11/08/2024,LS11 ,LS11 8,Loud Music,Out ofHours,Out ofHours
11/08/2024,WF3 ,WF3 3,Loud Music,Out ofHours,Out ofHours
11/08/2024,LS11 ,LS11 5,TV,Out ofHours,Out ofHours
11/08/2024,LS2 ,LS2 7,Party,Out ofHours,Out ofHours
11/08/2024,LS12 ,LS12 1,Shouting,Out ofHours,Out ofHours
11/08/2024,LS19 ,LS19 7,Dog Barking,Out ofHours,Out ofHours
11/08/2024,LS10 ,LS10 ,Loud Music,Out ofHours,Out ofHours
11/08/2024,LS9 ,LS9 7,Shouting,Out ofHours,Out ofHours
11/08/2024,LS28 ,LS28,Loud Music,Out ofHours,Out ofHours
11/08/2024,LS11 ,LS11 5,Loud Music,Out ofHours,Out ofHours
11/08/2024,LS8 ,LS8 3,Loud Music,Out ofHours,Out ofHours
11/08/2024,LS11 ,LS11 5,TV,Out ofHours,Out ofHours
12/08/2024,LS14 ,LS14 5,TV,Out ofHours,Out ofHours
12/08/2024,LS6 ,LS6,Party,Out ofHours,Out ofHours
12/08/2024,LS25 ,LS25 4,Loud Music,Out ofHours,Out ofHours
12/08/2024,LS9 ,LS9 7,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
12/08/2024,LS26 ,LS26 8,Shouting,Out ofHours,Out ofHours
12/08/2024,LS6 ,LS6 1,Alarm,Out ofHours,Out ofHours
12/08/2024,LS13 ,LS13 4,Loud Music,Out ofHours,Out ofHours
12/08/2024,LS13 ,LS13 4,Loud Music,Out ofHours,Out ofHours
12/08/2024,LS19,LS19,Dog Barking,Out ofHours,Out ofHours
12/08/2024,LS9 ,LS9 0,Alarm,Out ofHours,Out ofHours
12/08/2024,LS9 ,LS9 0,Alarm,Out ofHours,Out ofHours
12/08/2024,LS19 ,LS19 7,Dog Barking,Out ofHours,Out ofHours
12/08/2024,LS11,LS11,Shouting,Out ofHours,Out ofHours
12/08/2024,LS19 ,LS19 7,Dog Barking,Out ofHours,Out ofHours
12/08/2024,LS12 ,LS12 2,DIY,Out ofHours,Out ofHours
12/08/2024,LS25 ,LS25 4,Loud Music,Out ofHours,Out ofHours
12/08/2024,LS9,LS96,Loud Music,Out ofHours,Out ofHours
12/08/2024,LS19 ,LS19 7,Dog Barking,Out ofHours,Out ofHours
12/08/2024,LS6 ,LS6 1,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
12/08/2024,LS9 ,LS9,DIY,Out ofHours,Out ofHours
12/08/2024,LS28 ,LS28 7,Loud Music,Out ofHours,Out ofHours
12/08/2024,LS6 ,LS6 1,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
12/08/2024,LS9 ,LS9 6,Loud Music,Out ofHours,Out ofHours
12/08/2024,LS11,LS11 0,Shouting,Out ofHours,Out ofHours
12/08/2024,LS9 ,LS9 6,Loud Music,Out ofHours,Out ofHours
12/08/2024,LS5 ,LS5 3,Loud Music,Out ofHours,Out ofHours
13/08/2024,LS9,LS9,Loud Music,Out ofHours,Out ofHours
13/08/2024,LS12 ,LS12 2,Shouting,Out ofHours,Out ofHours
13/08/2024,LS6 ,LS6 3,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
13/08/2024,LS16,LS16,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
13/08/2024,LS12 ,LS12 3,Loud Music,Out ofHours,Out ofHours
13/08/2024,LS9 ,LS9 6,Loud Music,Out ofHours,Out ofHours
13/08/2024,LS14 ,LS14 1,Loud Music,Out ofHours,Out ofHours
13/08/2024,LS10 ,LS10 1,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
13/08/2024,LS8 ,LS8 5,DIY,Out ofHours,Out ofHours
13/08/2024,LS26 ,LS26,Dog Barking,Out ofHours,Out ofHours
13/08/2024,LS16 ,LS16 5,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
13/08/2024,WF3 ,WF3 2,Dog Barking,Out ofHours,Out ofHours
13/08/2024,LS11 ,LS11 6,Loud Music,Out ofHours,Out ofHours
13/08/2024,LS25 ,LS25,Loud Music,Out ofHours,Out ofHours
13/08/2024,LS6 ,LS6 2,Loud Music,Out ofHours,Out ofHours
13/08/2024,LS27 ,LS27 0,Alarm,Out ofHours,Out ofHours
13/08/2024,LS13 ,LS13 4,DIY,Out ofHours,Out ofHours
13/08/2024,LS12 ,LS12 5,Shouting,Out ofHours,Out ofHours
13/08/2024,LS14 ,LS14 1,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
14/08/2024,LS19 ,LS19 7,Dog Barking,Out ofHours,Out ofHours
14/08/2024,BD11 ,BD11 1,Loud Music,Out ofHours,Out ofHours
14/08/2024,LS7 ,LS7 3,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
14/08/2024,LS11 ,LS11 0,Loud Music,Out ofHours,Out ofHours
14/08/2024,LS9 ,LS9 7,Loud Music,Out ofHours,Out ofHours
14/08/2024,LS15 ,LS15,Loud Music,Out ofHours,Out ofHours
14/08/2024,LS8 ,LS8 4,Alarm,Out ofHours,Out ofHours
14/08/2024,LS7 ,LS7 3,Loud Music,Out ofHours,Out ofHours
14/08/2024,LS11 ,LS11 0,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
14/08/2024,LS11 ,LS11 5,Loud Music,Out ofHours,Out ofHours
14/08/2024,LS9 ,LS9 6,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
14/08/2024,LS19 ,LS19 7,Dog Barking,Out ofHours,Out ofHours
