Created,post code,Noise type,Sr_Num,Enq_Type
31/03/2017 23:20,LS13 2,PARTY,OutofHours,OutofHours
31/03/2017 23:02,LS26 8,MUSIC,OutofHours,OutofHours
31/03/2017 22:47,LS6 1,MUSIC,OutofHours,OutofHours
31/03/2017 22:31,LS13 3,MUSIC,OutofHours,OutofHours
31/03/2017 22:08,LS9 7,MUSIC,OutofHours,OutofHours
31/03/2017 22:02,LS25 2,DOG BARKING,OutofHours,OutofHours
31/03/2017 22:02,LS8 2H,MUSIC,OutofHours,OutofHours
31/03/2017 21:58,LS13 4,MUSIC,OutofHours,OutofHours
31/03/2017 20:27,LS15 0,MUSIC,OutofHours,OutofHours
31/03/2017 20:18,LS12 1F,MUSIC,OutofHours,OutofHours
31/03/2017 19:06,LS11 8,MUSIC,OutofHours,OutofHours
31/03/2017 19:01,LS9 6,SHOUTING,OutofHours,OutofHours
31/03/2017 18:19,LS8 3,MUSIC,OutofHours,OutofHours
31/03/2017 04:15,LS27 8,MUSIC,OutofHours,OutofHours
31/03/2017 04:08,LS17 6,MUSIC,OutofHours,OutofHours
31/03/2017 03:54,ls8 3,MUSIC,OutofHours,OutofHours
31/03/2017 02:03,LS27 8,MUSIC,OutofHours,OutofHours
31/03/2017 01:47,LS17 6,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
31/03/2017 01:10,LS7 3,MUSIC,OutofHours,OutofHours
31/03/2017 00:00,LS11 6,MUSIC,OutofHours,OutofHours
30/03/2017 23:56,LS9 6,MUSIC,OutofHours,OutofHours
30/03/2017 23:24,LS10 4,MUSIC,OutofHours,OutofHours
30/03/2017 23:13,LS6 2,ALARM,OutofHours,OutofHours
30/03/2017 22:47,LS9 7,MUSIC,OutofHours,OutofHours
30/03/2017 21:59,LS19 7,MUSIC,OutofHours,OutofHours
30/03/2017 21:40,LS8 2,MUSIC,OutofHours,OutofHours
30/03/2017 20:43,LS12 1,DOG BARKING,OutofHours,OutofHours
30/03/2017 20:39,WF3 1,OTHER,OutofHours,OutofHours
30/03/2017 19:26,LS16 5D,MUSIC,OutofHours,OutofHours
30/03/2017 18:54,Ls11 6j,MUSIC,OutofHours,OutofHours
30/03/2017 07:20,LS8 1,TV,OutofHours,OutofHours
30/03/2017 06:46,LS14 6,MUSIC,OutofHours,OutofHours
30/03/2017 04:28,LS6 1,MUSIC,OutofHours,OutofHours
30/03/2017 04:21,LS13 1,PARTY,OutofHours,OutofHours
30/03/2017 02:00,LS6 1,PARTY,OutofHours,OutofHours
30/03/2017 00:19,LS7 2,MUSIC,OutofHours,OutofHours
30/03/2017 00:15,LS6 1,MUSIC,OutofHours,OutofHours
29/03/2017 23:47,LS7 2,MUSIC,OutofHours,OutofHours
29/03/2017 23:23,#VALUE!,,OutofHours,OutofHours
29/03/2017 23:17,#VALUE!,,OutofHours,OutofHours
29/03/2017 23:11,LS13 4,MUSIC,OutofHours,OutofHours
29/03/2017 22:48,LS6 1,MUSIC,OutofHours,OutofHours
29/03/2017 22:24,WF3 1,OTHER,OutofHours,OutofHours
29/03/2017 22:15,LS6 3,MUSIC,OutofHours,OutofHours
29/03/2017 21:22,LS12 3,SHOUTING,OutofHours,OutofHours
29/03/2017 21:07,LS13 4,DOG BARKING,OutofHours,OutofHours
