Created1,CallerPostcode,AccusedPostcode,Type of Noise Causing a Nuisance,Sr_Num ,Enq Type
01/01/2023,LS13 2,LS13 2,LOUD MUSIC,Out ofHours,Out ofHours
01/01/2023,LS9 6,LS9 6,LOUD MUSIC,Out ofHours,Out ofHours
01/01/2023,LS8 3,LS8 3,LOUD MUSIC,Out ofHours,Out ofHours
01/01/2023,,LS13 4,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
01/01/2023,LS11 5,LS11 5,DIY,Out ofHours,Out ofHours
01/01/2023,LS9 6,LS9 6,LOUD MUSIC,Out ofHours,Out ofHours
01/01/2023,LS12 1,LS12 1,LOUD MUSIC,Out ofHours,Out ofHours
01/01/2023,LS6 3,LS6 3,ALARM,Out ofHours,Out ofHours
01/01/2023,LS8 5,LS8 5,LOUD MUSIC,Out ofHours,Out ofHours
01/01/2023,LS13 4,LS13 4,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
01/01/2023,LS19 7,LS19 7,LOUD MUSIC,Out ofHours,Out ofHours
01/01/2023,LS8 4,LS8 4,LOUD MUSIC,Out ofHours,Out ofHours
02/01/2023,LS9 7,LS9 7,LOUD MUSIC,Out ofHours,Out ofHours
02/01/2023,LS11 8,,LOUD MUSIC,Out ofHours,Out ofHours
02/01/2023,LS2 7,LS2 7,LOUD MUSIC,Out ofHours,Out ofHours
02/01/2023,LS9 9,LS9 9,TV,Out ofHours,Out ofHours
02/01/2023,LS6 1,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
02/01/2023,LS11 5,,LOUD MUSIC,Out ofHours,Out ofHours
02/01/2023,LS11 7,LS11 7,LOUD MUSIC,Out ofHours,Out ofHours
02/01/2023,LS17 6,LS17 6,DOG BARKING,Out ofHours,Out ofHours
02/01/2023,,LS8 3,LOUD MUSIC,Out ofHours,Out ofHours
02/01/2023,LS6 3,LS6 3,ALARM,Out ofHours,Out ofHours
02/01/2023,LS8 4,LS8 4,LOUD MUSIC,Out ofHours,Out ofHours
02/01/2023,LS9 6,LS9 6,LOUD MUSIC,Out ofHours,Out ofHours
02/01/2023,LS16 6,LS16 6,SHOUTING,Out ofHours,Out ofHours
02/01/2023,LS12 1,LS12 1,TV,Out ofHours,Out ofHours
02/01/2023,LS8 4,LS8 4,LOUD MUSIC,Out ofHours,Out ofHours
02/01/2023,LS12 1,LS12 1,LOUD MUSIC,Out ofHours,Out ofHours
02/01/2023,LS7 1,LS7 1,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
02/01/2023,LS12 1,LS12 1,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
02/01/2023,LS27 0,LS27 0,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
03/01/2023,LS13 4,LS13 4,LOUD MUSIC,Out ofHours,Out ofHours
03/01/2023,LS26 0,LS26 0,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
03/01/2023,LS12 3,LS12 3,LOUD MUSIC,Out ofHours,Out ofHours
03/01/2023,LS13 4,LS13 4,DIY,Out ofHours,Out ofHours
03/01/2023,LS6 2,LS6 2,LOUD MUSIC,Out ofHours,Out ofHours
03/01/2023,LS4 2,LS4 2,SHOUTING,Out ofHours,Out ofHours
03/01/2023,LS9 6,LS9 6,LOUD MUSIC,Out ofHours,Out ofHours
03/01/2023,LS17 6,LS17 6,LOUD MUSIC,Out ofHours,Out ofHours
03/01/2023,LS17 8,LS17 8,SHOUTING,Out ofHours,Out ofHours
03/01/2023,LS13 4,LS13 4,DIY,Out ofHours,Out ofHours
03/01/2023,LS10 4,LS10 4,LOUD MUSIC,Out ofHours,Out ofHours
03/01/2023,LS10 4,LS10 4,OTHER,Out ofHours,Out ofHours
03/01/2023,LS27 8,,ALARM,Out ofHours,Out ofHours
04/01/2023,LS1 5,LS1 5,LOUD MUSIC,Out ofHours,Out ofHours
04/01/2023,LS15 0,LS15 0,OTHER,Out ofHours,Out ofHours
04/01/2023,LS13 4,LS13 4,DIY,Out ofHours,Out ofHours
04/01/2023,LS9 7,LS9 7,TV,Out ofHours,Out ofHours
04/01/2023,LS25 2,,DOG BARKING,Out ofHours,Out ofHours
04/01/2023,LS9 6,LS9 6,LOUD MUSIC,Out ofHours,Out ofHours
04/01/2023,LS9 7,LS9 7,SHOUTING,Out ofHours,Out ofHours
04/01/2023,LS9 6,LS9 6,LOUD MUSIC,Out ofHours,Out ofHours
05/01/2023,LS12 4,LS12 4,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
05/01/2023,LS6 2,LS6 2,LOUD MUSIC,Out ofHours,Out ofHours
05/01/2023,LS8 5,,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
05/01/2023,LS13 1,LS13 1,SHOUTING,Out ofHours,Out ofHours
05/01/2023,LS12 4,LS12 4,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
05/01/2023,LS6 1,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
05/01/2023,LS6 1,,PARTY,Out ofHours,Out ofHours
05/01/2023,LS8 1,LS8 1,LOUD MUSIC,Out ofHours,Out ofHours
05/01/2023,LS8 3,LS8 3,TV,Out ofHours,Out ofHours
05/01/2023,LS4 2,LS4 2,DOG BARKING,Out ofHours,Out ofHours
05/01/2023,LS12 2,LS12 2,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
05/01/2023,LS6 3,LS6 3,ALARM,Out ofHours,Out ofHours
05/01/2023,LS4 2,LS4 2,DOG BARKING,Out ofHours,Out ofHours
06/01/2023,LS14 1,LS14 1,OTHER,Out ofHours,Out ofHours
06/01/2023,LS27 0,LS27 0,LOUD MUSIC,Out ofHours,Out ofHours
06/01/2023,LS6 2,LS6 2,LOUD MUSIC,Out ofHours,Out ofHours
06/01/2023,LS3 1,LS3 1,PARTY,Out ofHours,Out ofHours
06/01/2023,LS7 3,,LOUD MUSIC,Out ofHours,Out ofHours
06/01/2023,LS14 5,LS14 5,LOUD MUSIC,Out ofHours,Out ofHours
06/01/2023,LS9 6,LS9 6,LOUD MUSIC,Out ofHours,Out ofHours
06/01/2023,LS9 6,LS9 6,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
06/01/2023,LS14 6,LS14 6,LOUD MUSIC,Out ofHours,Out ofHours
06/01/2023,LS11 7,LS11 7,LOUD MUSIC,Out ofHours,Out ofHours
06/01/2023,LS10 4,LS10 4,LOUD MUSIC,Out ofHours,Out ofHours
06/01/2023,LS9 9,LS9 9,SHOUTING,Out ofHours,Out ofHours
06/01/2023,LS14 1,LS14 1,LOUD MUSIC,Out ofHours,Out ofHours
06/01/2023,LS10 4,LS10 4,LOUD MUSIC,Out ofHours,Out ofHours
06/01/2023,LS14 6,LS14 6,LOUD MUSIC,Out ofHours,Out ofHours
06/01/2023,LS10 4,LS10 4,LOUD MUSIC,Out ofHours,Out ofHours
06/01/2023,LS14 1,LS14 1,LOUD MUSIC,Out ofHours,Out ofHours
06/01/2023,LS11 8,LS11 8,LOUD MUSIC,Out ofHours,Out ofHours
07/01/2023,LS6 1,LS6 1,OTHER,Out ofHours,Out ofHours
07/01/2023,LS14 5,LS14 5,LOUD MUSIC,Out ofHours,Out ofHours
07/01/2023,LS9 6,,LOUD MUSIC,Out ofHours,Out ofHours
07/01/2023,LS12 2,LS12 2,LOUD MUSIC,Out ofHours,Out ofHours
07/01/2023,LS16 5,LS16 5,LOUD MUSIC,Out ofHours,Out ofHours
07/01/2023,LS16 5,LS16 5,LOUD MUSIC,Out ofHours,Out ofHours
07/01/2023,LS18 5,,LOUD MUSIC,Out ofHours,Out ofHours
07/01/2023,LS25 1,LS25 1,LOUD MUSIC,Out ofHours,Out ofHours
07/01/2023,LS9 6,LS9 6,LOUD MUSIC,Out ofHours,Out ofHours
07/01/2023,LS16 5,LS16 5,LOUD MUSIC,Out ofHours,Out ofHours
07/01/2023,LS25 4,LS25 4,LOUD MUSIC,Out ofHours,Out ofHours
07/01/2023,LS15 0,LS15 0,DOG BARKING,Out ofHours,Out ofHours
07/01/2023,LS25 4,LS25 4,LOUD MUSIC,Out ofHours,Out ofHours
07/01/2023,LS14 2,LS14 2,LOUD MUSIC,Out ofHours,Out ofHours
07/01/2023,LS8 3,LS8 3,LOUD MUSIC,Out ofHours,Out ofHours
07/01/2023,LS9 6,LS9 6,LOUD MUSIC,Out ofHours,Out ofHours
07/01/2023,LS13 1,LS13 1,SHOUTING,Out ofHours,Out ofHours
07/01/2023,LS7 3,LS7 3,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
07/01/2023,LS12 5,LS12 5,PARTY,Out ofHours,Out ofHours
07/01/2023,LS28 8,LS28 8,DOG BARKING,Out ofHours,Out ofHours
07/01/2023,LS25 4,LS25 4,TV,Out ofHours,Out ofHours
07/01/2023,LS13 4,LS13 4,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
07/01/2023,LS17 8,LS17 8,LOUD MUSIC,Out ofHours,Out ofHours
07/01/2023,LS6 3,LS6 3,LOUD MUSIC,Out ofHours,Out ofHours
07/01/2023,LS9 0,,SHOUTING,Out ofHours,Out ofHours
07/01/2023,LS9 6,LS9 6,LOUD MUSIC,Out ofHours,Out ofHours
07/01/2023,LS17 5,LS17 5,LOUD MUSIC,Out ofHours,Out ofHours
07/01/2023,LS17 5,LS17 5,LOUD MUSIC,Out ofHours,Out ofHours
