Created,Caller Postcode,Accused Postcode,Type of Noise Causing a Nuisance,Sr_Num ,Enq Type
11/07/2024,LS7 ,LS7 3,Loud Music,Out ofHours,Out ofHours
11/07/2024,LS13 ,LS13 2,Loud Music,Out ofHours,Out ofHours
11/07/2024,LS9 ,LS9 7,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
11/07/2024,LS11 ,LS11 6,Loud Music,Out ofHours,Out ofHours
11/07/2024,LS9 ,LS9 9,Shouting,Out ofHours,Out ofHours
11/07/2024,LS13 ,LS13 2,Loud Music,Out ofHours,Out ofHours
11/07/2024,LS14 ,LS14 6,TV,Out ofHours,Out ofHours
11/07/2024,LS14 ,LS14 2,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
11/07/2024,LS15 ,LS15 4,Loud Music,Out ofHours,Out ofHours
11/07/2024,LS5 ,LS5 3,TV,Out ofHours,Out ofHours
11/07/2024,LS7 ,LS7 3,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
11/07/2024,LS9 ,LS9 7,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
11/07/2024,LS9 ,LS9 6,Loud Music,Out ofHours,Out ofHours
11/07/2024,LS27 ,LS27 8,Alarm,Out ofHours,Out ofHours
11/07/2024,LS19 ,LS19 7,Shouting,Out ofHours,Out ofHours
12/07/2024,LS7 ,LS7 1,DIY,Out ofHours,Out ofHours
12/07/2024,LS7 ,LS7 3,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
12/07/2024,LS14 ,LS14 2,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
12/07/2024,LS8 ,LS8 4,Loud Music,Out ofHours,Out ofHours
12/07/2024,LS2 ,LS2 9,Loud Music,Out ofHours,Out ofHours
12/07/2024,LS13 ,LS13,Dog Barking,Out ofHours,Out ofHours
12/07/2024,LS27 ,LS27 9,Loud Music,Out ofHours,Out ofHours
12/07/2024,LS27 ,LS27 5,Loud Music,Out ofHours,Out ofHours
12/07/2024,LS11 ,LS11 8,Loud Music,Out ofHours,Out ofHours
12/07/2024,LS9 ,LS9 7,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
12/07/2024,LS8 ,LS8,Loud Music,Out ofHours,Out ofHours
13/07/2024,LS8 ,LS8 5,Loud Music,Out ofHours,Out ofHours
13/07/2024,LS9 ,LS9 6,Loud Music,Out ofHours,Out ofHours
13/07/2024,LS8 ,LS8,Loud Music,Out ofHours,Out ofHours
13/07/2024,LS7 ,LS7 2,Shouting,Out ofHours,Out ofHours
13/07/2024,LS7 ,LS7 3,Loud Music,Out ofHours,Out ofHours
13/07/2024,LS8 ,LS8 3,Loud Music,Out ofHours,Out ofHours
13/07/2024,LS16 ,LS16 6,Dog Barking,Out ofHours,Out ofHours
13/07/2024,LS26 ,LS26 0,Loud Music,Out ofHours,Out ofHours
13/07/2024,LS11 ,LS11 0,Shouting,Out ofHours,Out ofHours
13/07/2024,LS9 ,LS2 7,Loud Music,Out ofHours,Out ofHours
13/07/2024,LS27 ,LS27 7,Loud Music,Out ofHours,Out ofHours
13/07/2024,LS13 ,LS13 2,TV,Out ofHours,Out ofHours
13/07/2024,LS4 ,LS4 2,Shouting,Out ofHours,Out ofHours
13/07/2024,LS27 ,LS27 8,Shouting,Out ofHours,Out ofHours
13/07/2024,LS18 ,LS18 4,Loud Music,Out ofHours,Out ofHours
13/07/2024,LS16 ,LS16 5,Shouting,Out ofHours,Out ofHours
13/07/2024,LS26 ,LS26 0,Loud Music,Out ofHours,Out ofHours
13/07/2024,LS13 ,LS13 4,Loud Music,Out ofHours,Out ofHours
13/07/2024,LS9 ,LS9 7,Loud Music,Out ofHours,Out ofHours
13/07/2024,LS25 ,LS25 1,Loud Music,Out ofHours,Out ofHours
13/07/2024,LS17 ,LS17 5,Party,Out ofHours,Out ofHours
13/07/2024,LS9 ,LS9 0,Loud Music,Out ofHours,Out ofHours
13/07/2024,LS13 ,LS13 4,Loud Music,Out ofHours,Out ofHours
13/07/2024,WF3 ,WF3 3,Loud Music,Out ofHours,Out ofHours
13/07/2024,LS26 ,LS26 0,Loud Music,Out ofHours,Out ofHours
13/07/2024,LS9 ,LS9 7,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
14/07/2024,LS6 ,LS6 3,Party,Out ofHours,Out ofHours
14/07/2024,LS7 ,LS7 3,Shouting,Out ofHours,Out ofHours
14/07/2024,LS26 ,LS26 0,Loud Music,Out ofHours,Out ofHours
14/07/2024,LS12 ,LS125,Shouting,Out ofHours,Out ofHours
14/07/2024,LS9 ,LS9 0,Loud Music,Out ofHours,Out ofHours
14/07/2024,LS13 ,LS13 2,Loud Music,Out ofHours,Out ofHours
14/07/2024,LS6 ,LS6 1,TV,Out ofHours,Out ofHours
14/07/2024,LS7 ,LS7 2,Dog Barking,Out ofHours,Out ofHours
14/07/2024,LS7 ,LS7 ,Loud Music,Out ofHours,Out ofHours
14/07/2024,LS8 ,LS8 4,Loud Music,Out ofHours,Out ofHours
14/07/2024,LS15 ,LS15 0,Loud Music,Out ofHours,Out ofHours
14/07/2024,LS7 ,LS7 1,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
14/07/2024,LS1 ,LS1 6,Loud Music,Out ofHours,Out ofHours
14/07/2024,LS19 ,LS19 7,Dog Barking,Out ofHours,Out ofHours
14/07/2024,LS9 ,LS9 6,Loud Music,Out ofHours,Out ofHours
14/07/2024,LS11 ,LS11 9,Shouting,Out ofHours,Out ofHours
14/07/2024,LS19 ,LS19 7,TV,Out ofHours,Out ofHours
14/07/2024,LS27 ,LS27 9,Loud Music,Out ofHours,Out ofHours
14/07/2024,LS6 ,LS6 3,Loud Music,Out ofHours,Out ofHours
15/07/2024,LS6 ,LS6 1,Shouting,Out ofHours,Out ofHours
15/07/2024,LS9 ,LS9 6,Loud Music,Out ofHours,Out ofHours
15/07/2024,LS7 ,LS7 3,Loud Music,Out ofHours,Out ofHours
15/07/2024,LS6 ,LS6 3,Loud Music,Out ofHours,Out ofHours
15/07/2024,LS11 ,LS11 5,Party,Out ofHours,Out ofHours
15/07/2024,LS9 ,LS9 7,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
15/07/2024,LS15 ,LS15 0,TV,Out ofHours,Out ofHours
15/07/2024,LS10 ,LS11,Loud Music,Out ofHours,Out ofHours
15/07/2024,LS19 ,LS19 7,Dog Barking,Out ofHours,Out ofHours
15/07/2024,LS6 ,LS6 1,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
15/07/2024,LS9 ,LS9 6,Loud Music,Out ofHours,Out ofHours
15/07/2024,LS7 ,LS7 4,Loud Music,Out ofHours,Out ofHours
15/07/2024,LS6 ,LS6,Loud Music,Out ofHours,Out ofHours
15/07/2024,LS9 ,LS9 6,Loud Music,Out ofHours,Out ofHours
16/07/2024,LS12 ,LS12 2,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
16/07/2024,LS26 ,LS26 9,Shouting,Out ofHours,Out ofHours
16/07/2024,LS2 ,LS2 9,Party,Out ofHours,Out ofHours
