Created,Caller ,Noise Postcode,Type of Noise Causing a Nuisance,Sr_Num,Enq Type
01/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
01/07/2021,LS6,LS6 1,TV,Out ofHours,Out ofHours
01/07/2021,LS6,LS7 2,MUSIC,Out ofHours,Out ofHours
01/07/2021,LS12,LS12 4,MUSIC,Out ofHours,Out ofHours
01/07/2021,LS8,LS8 4,DIY,Out ofHours,Out ofHours
01/07/2021,LS7,LS7 3,ALARM,Out ofHours,Out ofHours
01/07/2021,LS9,LS9 6,PARTY,Out ofHours,Out ofHours
01/07/2021,LS25,LS25 3,PARTY,Out ofHours,Out ofHours
01/07/2021,LS12,LS12 2,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
01/07/2021,LS17,LS17 8,MUSIC,Out ofHours,Out ofHours
01/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
01/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
01/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
01/07/2021,LS8,LS8 2,DOG BARKING,Out ofHours,Out ofHours
01/07/2021,LS13,LS13 2,MUSIC,Out ofHours,Out ofHours
01/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
01/07/2021,LS14,LS14 1,MUSIC,Out ofHours,Out ofHours
01/07/2021,LS6,LS6 3,SHOUTING,Out ofHours,Out ofHours
01/07/2021,LS28,LS28 8,BUILDING SITE,Out ofHours,Out ofHours
01/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
01/07/2021,LS27,LS27 8,MUSIC,Out ofHours,Out ofHours
01/07/2021,LS11,LS11 6,DOG BARKING,Out ofHours,Out ofHours
01/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
01/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
01/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
01/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
01/07/2021,LS6,LS6 1,PARTY,Out ofHours,Out ofHours
01/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
01/07/2021,LS6,LS6 1,SHOUTING,Out ofHours,Out ofHours
01/07/2021,LS6,LS6 3,MUSIC,Out ofHours,Out ofHours
