Created,Caller Postcode,Noise type,Sr_Num,Enq_Type
30/09/2017 23:56,LS28 6,MUSIC,OutofHours,OutofHours
30/09/2017 23:52,LS12 5,MUSIC,OutofHours,OutofHours
30/09/2017 23:21,LS13 1,DOG BARKING,OutofHours,OutofHours
30/09/2017 23:11,LS11 6,MUSIC,OutofHours,OutofHours
30/09/2017 23:04,LS28 9,MUSIC,OutofHours,OutofHours
30/09/2017 22:28,LS13 4,MUSIC,OutofHours,OutofHours
30/09/2017 21:54,LS14 1,MUSIC,OutofHours,OutofHours
30/09/2017 21:38,LS25 1,MUSIC,OutofHours,OutofHours
30/09/2017 21:06,LS15 0,MUSIC,OutofHours,OutofHours
30/09/2017 20:31,LS15 0,MUSIC,OutofHours,OutofHours
30/09/2017 19:38,LS25 1,MUSIC,OutofHours,OutofHours
30/09/2017 19:32,LS26 8,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
30/09/2017 19:26,LS27 7,MUSIC,OutofHours,OutofHours
30/09/2017 19:08,LS13 4,MUSIC,OutofHours,OutofHours
30/09/2017 19:00,LS10 2,MUSIC,OutofHours,OutofHours
30/09/2017 18:52,LS2 8,MUSIC,OutofHours,OutofHours
30/09/2017 18:43,LS8 5,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
30/09/2017 13:05,LS16 7,BUILDING SITE,OutofHours,OutofHours
30/09/2017 11:40,LS12 1,MUSIC,OutofHours,OutofHours
30/09/2017 05:19,LS117,MUSIC,OutofHours,OutofHours
30/09/2017 04:33,LS122,MUSIC,OutofHours,OutofHours
30/09/2017 04:19,LS6 1,MUSIC,OutofHours,OutofHours
30/09/2017 04:03,LS14 2B,MUSIC,OutofHours,OutofHours
30/09/2017 03:33,LS2 8,MUSIC,OutofHours,OutofHours
30/09/2017 03:06,LS14 2,MUSIC,OutofHours,OutofHours
30/09/2017 02:43,LS16 7,MUSIC,OutofHours,OutofHours
30/09/2017 02:36,LS6 1,PARTY,OutofHours,OutofHours
30/09/2017 02:30,LS9 7,PARTY,OutofHours,OutofHours
30/09/2017 02:12,LS16 6,SHOUTING,OutofHours,OutofHours
30/09/2017 02:02,LS9 7,MUSIC,OutofHours,OutofHours
30/09/2017 01:49,LS14 2,MUSIC,OutofHours,OutofHours
30/09/2017 01:44,LS6 1,,OutofHours,OutofHours
30/09/2017 01:38,LS61,PARTY,OutofHours,OutofHours
30/09/2017 01:30,LS6 1,PARTY,OutofHours,OutofHours
30/09/2017 01:23,LS6 1,SHOUTING,OutofHours,OutofHours
30/09/2017 01:15,LS6 1,PARTY,OutofHours,OutofHours
30/09/2017 01:07,LS6 1,PARTY,OutofHours,OutofHours
30/09/2017 00:15,LS11 9,PARTY,OutofHours,OutofHours
29/09/2017 23:55,LS6 1,PARTY,OutofHours,OutofHours
29/09/2017 23:48,LS11 9,PARTY,OutofHours,OutofHours
29/09/2017 23:42,LS6 1,MUSIC,OutofHours,OutofHours
29/09/2017 22:57,LS14 1,MUSIC,OutofHours,OutofHours
29/09/2017 22:06,LS8 1,OTHER,OutofHours,OutofHours
29/09/2017 22:01,LS6 1,NOISE ASSOCIATED WITH LICENSED PREMISES,OutofHours,OutofHours
29/09/2017 21:56,LS11 5,DOG BARKING,OutofHours,OutofHours
29/09/2017 21:37,LS8 3,MUSIC,OutofHours,OutofHours
29/09/2017 21:32,LS6 3,MUSIC,OutofHours,OutofHours
29/09/2017 21:10,LS13 4,MUSIC,OutofHours,OutofHours
29/09/2017 20:53,LS9 9,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
29/09/2017 20:35,LS13 4,MUSIC,OutofHours,OutofHours
29/09/2017 19:20,LS9 7,MUSIC,OutofHours,OutofHours
29/09/2017 19:20,LS18 4,MUSIC,OutofHours,OutofHours
29/09/2017 19:15,LS13 4P,MUSIC,OutofHours,OutofHours
29/09/2017 19:11,LS7 4,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
29/09/2017 18:31,LS16 5E,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
29/09/2017 06:13,LS134,MUSIC,OutofHours,OutofHours
29/09/2017 06:02,LS61,PARTY,OutofHours,OutofHours
29/09/2017 03:28,LS6 1,MUSIC,OutofHours,OutofHours
29/09/2017 01:17,LS9 7,OTHER,OutofHours,OutofHours
29/09/2017 01:05,LS16 5,OTHER,OutofHours,OutofHours
29/09/2017 00:59,LS18 4,BUILDING SITE,OutofHours,OutofHours
29/09/2017 00:41,LS19 7,MUSIC,OutofHours,OutofHours
29/09/2017 00:20,LS7 3,MUSIC,OutofHours,OutofHours
29/09/2017 00:10,LS5 3,MUSIC,OutofHours,OutofHours
29/09/2017 00:04,LS18 4,MUSIC,OutofHours,OutofHours
28/09/2017 23:06,LS11 5,MUSIC,OutofHours,OutofHours
28/09/2017 22:51,LS7 4,MUSIC,OutofHours,OutofHours
28/09/2017 22:45,LS6 1,PARTY,OutofHours,OutofHours
28/09/2017 22:01,LS6 1,MUSIC,OutofHours,OutofHours
28/09/2017 21:41,LS6 1,MUSIC,OutofHours,OutofHours
28/09/2017 21:32,#VALUE!,MUSIC,OutofHours,OutofHours
28/09/2017 21:10,LS13 3,MUSIC,OutofHours,OutofHours
28/09/2017 20:53,LS8 5,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
28/09/2017 20:48,LS13 1,DOG BARKING,OutofHours,OutofHours
28/09/2017 20:47,LS26 8,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
28/09/2017 20:31,LS26 8N,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
28/09/2017 19:52,LS6 1B,MUSIC,OutofHours,OutofHours
28/09/2017 19:50,LS16 5,OTHER,OutofHours,OutofHours
28/09/2017 19:46,LS16 5,OTHER,OutofHours,OutofHours
28/09/2017 19:43,LS13 4P,MUSIC,OutofHours,OutofHours
28/09/2017 18:35,LS27 8,MUSIC,OutofHours,OutofHours
28/09/2017 18:18,LS14 6,MUSIC,OutofHours,OutofHours
28/09/2017 05:23,LS14 1,TV,OutofHours,OutofHours
28/09/2017 04:12,LS64,PARTY,OutofHours,OutofHours
28/09/2017 03:51,LS9 7,TV,OutofHours,OutofHours
28/09/2017 02:27,LS4 2,MUSIC,OutofHours,OutofHours
28/09/2017 01:10,LS6 2,MUSIC,OutofHours,OutofHours
28/09/2017 00:36,LS14 6,TV,OutofHours,OutofHours
28/09/2017 00:25,LS6 3,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
27/09/2017 23:50,LS6 3,MUSIC,OutofHours,OutofHours
27/09/2017 22:53,LS6 3,MUSIC,OutofHours,OutofHours
27/09/2017 22:48,LS16 6,DIY,OutofHours,OutofHours
27/09/2017 22:45,LS7 3,PARTY,OutofHours,OutofHours
27/09/2017 22:12,LS6 3,MUSIC,OutofHours,OutofHours
27/09/2017 22:03,LS11 6,DIY,OutofHours,OutofHours
27/09/2017 22:00,LS7 3,MUSIC,OutofHours,OutofHours
27/09/2017 21:36,LS15 0,MUSIC,OutofHours,OutofHours
27/09/2017 21:24,LS6 1,MUSIC,OutofHours,OutofHours
27/09/2017 21:19,LS6 3,MUSIC,OutofHours,OutofHours
27/09/2017 19:27,LS15 0,SHOUTING,OutofHours,OutofHours
27/09/2017 19:11,LS7 4N,ALARM,OutofHours,OutofHours
27/09/2017 19:09,LS7 4,MUSIC,OutofHours,OutofHours
27/09/2017 18:57,LS21 1T,DIY,OutofHours,OutofHours
27/09/2017 18:40,LS6 1,MUSIC,OutofHours,OutofHours
27/09/2017 04:26,LS61,MUSIC,OutofHours,OutofHours
27/09/2017 04:13,LS4 2,MUSIC,OutofHours,OutofHours
27/09/2017 04:12,LS72,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
27/09/2017 04:10,LS9 7,TV,OutofHours,OutofHours
27/09/2017 02:44,LS9 7,TV,OutofHours,OutofHours
27/09/2017 02:40,LS14 5,MUSIC,OutofHours,OutofHours
27/09/2017 02:36,LS6 1,MUSIC,OutofHours,OutofHours
27/09/2017 01:27,LS14 5,SHOUTING,OutofHours,OutofHours
27/09/2017 00:17,LS7 2,TV,OutofHours,OutofHours
26/09/2017 23:52,LS6 1,MUSIC,OutofHours,OutofHours
26/09/2017 23:18,LS4 2,MUSIC,OutofHours,OutofHours
26/09/2017 23:14,LS6 1,MUSIC,OutofHours,OutofHours
26/09/2017 23:06,LS9 6,MUSIC,OutofHours,OutofHours
