Created1,Caller Postcode,Accused Postcode,Type of Noise Causing a Nuisance,Sr_Num ,Enq Type
30/06/2023,LS10,LS10 3,DOG BARKING,Out ofHours,Out ofHours
30/06/2023,LS11,LS11 5,LOUD MUSIC,Out ofHours,Out ofHours
30/06/2023,LS11,LS11 5,LOUD MUSIC,Out ofHours,Out ofHours
30/06/2023,WF3,WF3 3,DOG BARKING,Out ofHours,Out ofHours
30/06/2023,LS11,LS11 5,LOUD MUSIC,Out ofHours,Out ofHours
30/06/2023,LS17,LS17 6,LOUD MUSIC,Out ofHours,Out ofHours
30/06/2023,LS7,LS7 4,LOUD MUSIC,Out ofHours,Out ofHours
30/06/2023,LS14,LS14 5,PARTY,Out ofHours,Out ofHours
30/06/2023,LS9,LS9 6,LOUD MUSIC,Out ofHours,Out ofHours
30/06/2023,LS13,LS13 2,LOUD MUSIC,Out ofHours,Out ofHours
30/06/2023,LS2,LS2 9,PARTY,Out ofHours,Out ofHours
30/06/2023,WF3,WF3 3,PARTY,Out ofHours,Out ofHours
30/06/2023,LS20,LS20 9,LOUD MUSIC,Out ofHours,Out ofHours
30/06/2023,LS8,LS8 3,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
30/06/2023,LS14,LS14 6,LOUD MUSIC,Out ofHours,Out ofHours
30/06/2023,LS9,LS9 6,LOUD MUSIC,Out ofHours,Out ofHours
30/06/2023,LS20,LS20 9,LOUD MUSIC,Out ofHours,Out ofHours
30/06/2023,LS13,LS13 2,LOUD MUSIC,Out ofHours,Out ofHours
30/06/2023,LS13,LS13 2,LOUD MUSIC,Out ofHours,Out ofHours
30/06/2023,LS22,LS22 7,PARTY,Out ofHours,Out ofHours
30/06/2023,LS9,LS9 7,PARTY,Out ofHours,Out ofHours
30/06/2023,LS11,LS11 5,LOUD MUSIC,Out ofHours,Out ofHours
30/06/2023,LS6,LS6 2,LOUD MUSIC,Out ofHours,Out ofHours
30/06/2023,LS17,LS17 9,LOUD MUSIC,Out ofHours,Out ofHours
29/06/2023,LS8,LS8 5,LOUD MUSIC,Out ofHours,Out ofHours
29/06/2023,LS6,LS6 2,LOUD MUSIC,Out ofHours,Out ofHours
29/06/2023,BD11,BD11 1,TV,Out ofHours,Out ofHours
29/06/2023,LS13,LS13 4,PARTY,Out ofHours,Out ofHours
29/06/2023,LS8,LS8 5,LOUD MUSIC,Out ofHours,Out ofHours
