Created,Caller Postcode ,Noise Type,Sr_Num ,Enq_type
01/05/2019,LS6 1,MUSIC,OutofHours ,OutofHours 
01/05/2019,LS6 1,MUSIC,OutofHours ,OutofHours 
01/05/2019,LS6 1,PARTY,OutofHours ,OutofHours 
01/05/2019,,SHOUTING,OutofHours ,OutofHours 
01/05/2019,LS7 3,PARTY,OutofHours ,OutofHours 
01/05/2019,LS6 1,MUSIC,OutofHours ,OutofHours 
01/05/2019,LS6 1,MUSIC,OutofHours ,OutofHours 
01/05/2019,LS7 3,SHOUTING,OutofHours ,OutofHours 
01/05/2019,LS6 1,SHOUTING,OutofHours ,OutofHours 
01/05/2019,LS7 2,MUSIC,OutofHours ,OutofHours 
01/05/2019,LS9 7,MUSIC,OutofHours ,OutofHours 
01/05/2019,LS10 4,MUSIC,OutofHours ,OutofHours 
01/05/2019,LS12 2,BANGING ON WALLS/CEILING/FLOOR,OutofHours ,OutofHours 
01/05/2019,LS7 3,OTHER,OutofHours ,OutofHours 
02/05/2019,LS12 1,MUSIC,OutofHours ,OutofHours 
02/05/2019,LS7 3,OTHER,OutofHours ,OutofHours 
02/05/2019,LS6 1,OTHER,OutofHours ,OutofHours 
02/05/2019,LS27 8,MUSIC,OutofHours ,OutofHours 
02/05/2019,LS7 1,BANGING ON WALLS/CEILING/FLOOR,OutofHours ,OutofHours 
02/05/2019,LS10 4,MUSIC,OutofHours ,OutofHours 
02/05/2019,LS21 2,MUSIC,OutofHours ,OutofHours 
02/05/2019,LS17 5,BANGING ON WALLS/CEILING/FLOOR,OutofHours ,OutofHours 
02/05/2019,LS12 3,DOG BARKING,OutofHours ,OutofHours 
02/05/2019,LS10 4,MUSIC,OutofHours ,OutofHours 
02/05/2019,LS9 6,MUSIC,OutofHours ,OutofHours 
02/05/2019,LS12 3,BUILDING SITE,OutofHours ,OutofHours 
02/05/2019,LS17 5,MUSIC,OutofHours ,OutofHours 
02/05/2019,LS26 0,MUSIC,OutofHours ,OutofHours 
02/05/2019,LS16 5,TV,OutofHours ,OutofHours 
02/05/2019,LS16 7,BANGING ON WALLS/CEILING/FLOOR,OutofHours ,OutofHours 
02/05/2019,LS4 2,MUSIC,OutofHours ,OutofHours 
02/05/2019,LS16 5,SHOUTING,OutofHours ,OutofHours 
03/05/2019,LS6 1,MUSIC,OutofHours ,OutofHours 
03/05/2019,LS27 9,SHOUTING,OutofHours ,OutofHours 
03/05/2019,LS6 1,MUSIC,OutofHours ,OutofHours 
03/05/2019,LS19 7,DOG BARKING,OutofHours ,OutofHours 
03/05/2019,LS6 1,MUSIC,OutofHours ,OutofHours 
03/05/2019,LS10 4,MUSIC,OutofHours ,OutofHours 
03/05/2019,LS12 1,MUSIC,OutofHours ,OutofHours 
03/05/2019,LS12 5,MUSIC,OutofHours ,OutofHours 
03/05/2019,LS12 5,MUSIC,OutofHours ,OutofHours 
03/05/2019,LS14 1,DOG BARKING,OutofHours ,OutofHours 
03/05/2019,LS28 5,MUSIC,OutofHours ,OutofHours 
03/05/2019,LS10 4,MUSIC,OutofHours ,OutofHours 
03/05/2019,LS17 5,MUSIC,OutofHours ,OutofHours 
