Created,Caller_Postcode,Noise type,Sr_Num,Enq_Type
01 October 2017,LS6 1,SHOUTING,OutofHours,OutofHours
01 October 2017,LS21 3,MUSIC,OutofHours,OutofHours
01 October 2017,LS6 1,MUSIC,OutofHours,OutofHours
01 October 2017,LS7 2,MUSIC,OutofHours,OutofHours
01 October 2017,LS27 9,SHOUTING,OutofHours,OutofHours
01 October 2017,LS6 1,MUSIC,OutofHours,OutofHours
01 October 2017,LS13 4,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
01 October 2017,LS9 9,MUSIC,OutofHours,OutofHours
01 October 2017,LS6 1,MUSIC,OutofHours,OutofHours
01 October 2017,LS12 5,MUSIC,OutofHours,OutofHours
01 October 2017,LS21 3,MUSIC,OutofHours,OutofHours
01 October 2017,LS28 7,MUSIC,OutofHours,OutofHours
01 October 2017,LS6 2,MUSIC,OutofHours,OutofHours
01 October 2017,LS6 1,MUSIC,OutofHours,OutofHours
01 October 2017,LS6 1,MUSIC,OutofHours,OutofHours
01 October 2017,LS12 1,MUSIC,OutofHours,OutofHours
01 October 2017,LS18 4,SHOUTING,OutofHours,OutofHours
01 October 2017,LS6 3,MUSIC,OutofHours,OutofHours
01 October 2017,LS10 3,DOG BARKING,OutofHours,OutofHours
01 October 2017,LS14 1,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
01 October 2017,LS6 1,MUSIC,OutofHours,OutofHours
01 October 2017,LS6 I,MUSIC,OutofHours,OutofHours
01 October 2017,LS4 2,MUSIC,OutofHours,OutofHours
01 October 2017,LS11 7,OTHER,OutofHours,OutofHours
01 October 2017,LS10 3,PARTY,OutofHours,OutofHours
01 October 2017,LS21 3,PARTY,OutofHours,OutofHours
01 October 2017,LS12 4,DOG BARKING,OutofHours,OutofHours
01 October 2017,LS8 1,OTHER,OutofHours,OutofHours
01 October 2017,LS7 2,MUSIC,OutofHours,OutofHours
01 October 2017,LS13 4,MUSIC,OutofHours,OutofHours
01 October 2017,LS27 9,DOG BARKING,OutofHours,OutofHours
01 October 2017,LS27 9,DOG BARKING,OutofHours,OutofHours
01 October 2017,LS12 4,DOG BARKING,OutofHours,OutofHours
01 October 2017,LS14 1,SHOUTING,OutofHours,OutofHours
01 October 2017,LS13 1,MUSIC,OutofHours,OutofHours
01 October 2017,LS14 1,MUSIC,OutofHours,OutofHours
01 October 2017,LS14 1,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
01 October 2017,LS12 5,MUSIC,OutofHours,OutofHours
01 October 2017,LS9 6,ALARM,OutofHours,OutofHours
01 October 2017, ,DOG BARKING,OutofHours,OutofHours
01 October 2017,LS13 2,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
01 October 2017,LS6 2,MUSIC,OutofHours,OutofHours
01 October 2017,LS6 2,MUSIC,OutofHours,OutofHours
01 October 2017,LS13 4,MUSIC,OutofHours,OutofHours
02 October 2017,LS7 2,MUSIC,OutofHours,OutofHours
02 October 2017,LS6 1,MUSIC,OutofHours,OutofHours
02 October 2017,LS13 4,MUSIC,OutofHours,OutofHours
02 October 2017,LS6 3,OTHER,OutofHours,OutofHours
02 October 2017,LS6 1,SHOUTING,OutofHours,OutofHours
02 October 2017,LS13 4,MUSIC,OutofHours,OutofHours
02 October 2017,LS17 7,OTHER,OutofHours,OutofHours
02 October 2017,LS11 0,MUSIC,OutofHours,OutofHours
02 October 2017,LS6 3,MUSIC,OutofHours,OutofHours
02 October 2017,LS6 3,MUSIC,OutofHours,OutofHours
02 October 2017,LS9 0,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
02 October 2017,LS6 3,MUSIC,OutofHours,OutofHours
02 October 2017,LS9 8,ALARM,OutofHours,OutofHours
02 October 2017,LS2 8,MUSIC,OutofHours,OutofHours
02 October 2017,LS6 2,MUSIC,OutofHours,OutofHours
02 October 2017,LS6 1,MUSIC,OutofHours,OutofHours
02 October 2017,LS11 9,MUSIC,OutofHours,OutofHours
02 October 2017,LS27 7,MUSIC,OutofHours,OutofHours
03 October 2017,LS6 ,MUSIC,OutofHours,OutofHours
03 October 2017,LS17 5,MUSIC,OutofHours,OutofHours
03 October 2017,LS5 3,MUSIC,OutofHours,OutofHours
03 October 2017,LS26 0,MUSIC,OutofHours,OutofHours
03 October 2017,LS6 1,MUSIC,OutofHours,OutofHours
03 October 2017,LS13 4,MUSIC,OutofHours,OutofHours
03 October 2017,LS5 1,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
03 October 2017,LS6 3,MUSIC,OutofHours,OutofHours
03 October 2017,LS6 1,MUSIC,OutofHours,OutofHours
03 October 2017,LS6 3,MUSIC,OutofHours,OutofHours
03 October 2017,LS13 4,MUSIC,OutofHours,OutofHours
03 October 2017,LS1 3,MUSIC,OutofHours,OutofHours
03 October 2017,LS27 7,MUSIC,OutofHours,OutofHours
03 October 2017,LS9 7,MUSIC,OutofHours,OutofHours
03 October 2017,LS13 1,DOG BARKING,OutofHours,OutofHours
03 October 2017,LS6 1,PARTY,OutofHours,OutofHours
03 October 2017,LS6 1,MUSIC,OutofHours,OutofHours
04 October 2017,LS9 7,MUSIC,OutofHours,OutofHours
04 October 2017,LS6 3,MUSIC,OutofHours,OutofHours
04 October 2017,LS2 8,MUSIC,OutofHours,OutofHours
04 October 2017,LS6 3,PARTY,OutofHours,OutofHours
04 October 2017,LS7 1,MUSIC,OutofHours,OutofHours
04 October 2017,LS12 1,DOG BARKING,OutofHours,OutofHours
04 October 2017,LS6 1,MUSIC,OutofHours,OutofHours
04 October 2017,LS5 3,DIY,OutofHours,OutofHours
04 October 2017,LS6 1,MUSIC,OutofHours,OutofHours
04 October 2017,LS13 4,DIY,OutofHours,OutofHours
04 October 2017,LS12 3,MUSIC,OutofHours,OutofHours
04 October 2017,LS28 5,MUSIC,OutofHours,OutofHours
04 October 2017,LS6 1,MUSIC,OutofHours,OutofHours
04 October 2017,LS6 4,MUSIC,OutofHours,OutofHours
04 October 2017,LS6 1,MUSIC,OutofHours,OutofHours
04 October 2017,LS14 1,SHOUTING,OutofHours,OutofHours
04 October 2017,LS6 3,MUSIC,OutofHours,OutofHours
04 October 2017,LS21 2,ALARM,OutofHours,OutofHours
04 October 2017,LS6 1,SHOUTING,OutofHours,OutofHours
04 October 2017,LS6 1,PARTY,OutofHours,OutofHours
04 October 2017,LS6 1,MUSIC,OutofHours,OutofHours
04 October 2017,LS6 1,MUSIC,OutofHours,OutofHours
04 October 2017,LS6 3,MUSIC,OutofHours,OutofHours
05 October 2017,LS6 1,PARTY,OutofHours,OutofHours
05 October 2017,LS6 1,MUSIC,OutofHours,OutofHours
05 October 2017,LS7 3,MUSIC,OutofHours,OutofHours
05 October 2017,LS6 1,SHOUTING,OutofHours,OutofHours
05 October 2017,LS6 3,MUSIC,OutofHours,OutofHours
05 October 2017,LS26 0,MUSIC,OutofHours,OutofHours
05 October 2017,LS9 8,SHOUTING,OutofHours,OutofHours
05 October 2017,LS6 3,MUSIC,OutofHours,OutofHours
05 October 2017,LS6 1,PARTY,OutofHours,OutofHours
05 October 2017,LS27 8,MUSIC,OutofHours,OutofHours
05 October 2017,LS10 1,MUSIC,OutofHours,OutofHours
05 October 2017,LS14 6,MUSIC,OutofHours,OutofHours
05 October 2017,LS13 4,DIY,OutofHours,OutofHours
05 October 2017,LS28 5,MUSIC,OutofHours,OutofHours
05 October 2017,LS4 2,ALARM,OutofHours,OutofHours
