Created,Caller,Postcode,Type of Noise Causing a Nuisance,Sr_Num,Enq_Type
27/03/2020,BD11,BD11 1,MUSIC,OutofHours ,OutofHours 
15/03/2020,BD11,BD11 1,BANGING ON WALLS/CEILING/FLOOR,OutofHours ,OutofHours 
11/03/2020,BD11,BD11 1,MUSIC,OutofHours ,OutofHours 
10/03/2020,BD11,BD11 1,OTHER,OutofHours ,OutofHours 
21/02/2020,BD11,BD11 1,DOG BARKING,OutofHours ,OutofHours 
14/02/2020,BD11,BD11 1,ALARM,OutofHours ,OutofHours 
26/01/2020,BD11,BD11 1,MUSIC,OutofHours ,OutofHours 
25/01/2020,BD11,BD11 1,BANGING ON WALLS/CEILING/FLOOR,OutofHours ,OutofHours 
24/01/2020,BD11,BD11 1,DOG BARKING,OutofHours ,OutofHours 
17/01/2020,BD11,BD11 1,DOG BARKING,OutofHours ,OutofHours 
08/01/2020,BD11,BD11 1,DOG BARKING,OutofHours ,OutofHours 
04/01/2020,BD11,BD11 1,DOG BARKING,OutofHours ,OutofHours 
30/12/2019,BD11,BD11 1,BANGING ON WALLS/CEILING/FLOOR,OutofHours ,OutofHours 
29/12/2019,BD11,BD11 1,DOG BARKING,OutofHours ,OutofHours 
29/12/2019,BD11,BD11 1,BANGING ON WALLS/CEILING/FLOOR,OutofHours ,OutofHours 
15/12/2019,BD11,BD11 1,BANGING ON WALLS/CEILING/FLOOR,OutofHours ,OutofHours 
29/11/2019,BD11,BD11 1,BANGING ON WALLS/CEILING/FLOOR,OutofHours ,OutofHours 
07/12/2019,BD11,BD11 1,SHOUTING,OutofHours ,OutofHours 
29/03/2020,LS1,LS1 4,MUSIC,OutofHours ,OutofHours 
26/03/2020,LS1,LS1 4,MUSIC,OutofHours ,OutofHours 
13/03/2020,LS1,LS1 4,OTHER,OutofHours ,OutofHours 
12/03/2020,LS1,LS1 4,BUILDING SITE,OutofHours ,OutofHours 
15/02/2020,LS1,LS1 4,OTHER,OutofHours ,OutofHours 
