Created,Caller Postcode,Accused,Type of Noise Causing a Nuisance,Sr_Num ,Enq Type
01/10/2023,LS6 ,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
01/10/2023,LS4 ,LS4 ,LOUD MUSIC,Out ofHours,Out ofHours
01/10/2023,LS2 ,LS2 7,LOUD MUSIC,Out ofHours,Out ofHours
01/10/2023,LS7 ,LS7 3,LOUD MUSIC,Out ofHours,Out ofHours
01/10/2023,LS6 ,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
01/10/2023,LS6 ,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
01/10/2023,LS11 ,LS11 ,LOUD MUSIC,Out ofHours,Out ofHours
01/10/2023,LS6 ,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
01/10/2023,LS6 ,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
01/10/2023,LS6 ,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
01/10/2023,LS6 ,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
01/10/2023,LS6 ,LS6 3,LOUD MUSIC,Out ofHours,Out ofHours
01/10/2023,LS10 ,LS10 4,LOUD MUSIC,Out ofHours,Out ofHours
01/10/2023,LS2 ,LS2 9,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
01/10/2023,LS14 ,LS14 1,LOUD MUSIC,Out ofHours,Out ofHours
01/10/2023,LS15 ,LS15 0,LOUD MUSIC,Out ofHours,Out ofHours
01/10/2023,LS16 ,LS16 8,LOUD MUSIC,Out ofHours,Out ofHours
01/10/2023,LS11 ,LS11 0,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
01/10/2023,WF3 ,WF3 1,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
01/10/2023,LS9 ,LS9 ,LOUD MUSIC,Out ofHours,Out ofHours
01/10/2023,LS10 ,LS10 3,LOUD MUSIC,Out ofHours,Out ofHours
01/10/2023,LS11 ,LS11 6,LOUD MUSIC,Out ofHours,Out ofHours
01/10/2023,LS4 ,LS4 2,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
01/10/2023,LS14 ,LS14 6,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
01/10/2023,LS4 ,LS4 2,LOUD MUSIC,Out ofHours,Out ofHours
01/10/2023,LS6 ,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
01/10/2023,LS16 ,LS16 5,LOUD MUSIC,Out ofHours,Out ofHours
01/10/2023,LS9 ,LS9 7,LOUD MUSIC,Out ofHours,Out ofHours
01/10/2023,LS9 ,LS9 7,SHOUTING,Out ofHours,Out ofHours
01/10/2023,LS18 ,LS18 5,LOUD MUSIC,Out ofHours,Out ofHours
01/10/2023,LS14 ,LS14 6,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
01/10/2023,LS7 ,LS7 2,LOUD MUSIC,Out ofHours,Out ofHours
02/10/2023,LS17 ,LS17 6,LOUD MUSIC,Out ofHours,Out ofHours
02/10/2023,LS6 ,LS6 2,LOUD MUSIC,Out ofHours,Out ofHours
02/10/2023,LS26 ,LS26 0,LOUD MUSIC,Out ofHours,Out ofHours
02/10/2023,LS10 ,LS10 4,DOG BARKING,Out ofHours,Out ofHours
02/10/2023,LS6 ,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
02/10/2023,LS10 ,LS10 3,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
02/10/2023,LS11 ,LS11 0,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
02/10/2023,LS8 ,LS8 3,LOUD MUSIC,Out ofHours,Out ofHours
02/10/2023,LS6 ,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
02/10/2023,LS11 ,LS11 0,LOUD MUSIC,Out ofHours,Out ofHours
02/10/2023,LS13 ,LS13 2,LOUD MUSIC,Out ofHours,Out ofHours
02/10/2023,LS12 ,LS12 3,LOUD MUSIC,Out ofHours,Out ofHours
02/10/2023,LS2 ,LS2 9,LOUD MUSIC,Out ofHours,Out ofHours
02/10/2023,LS15 ,LS15 0,LOUD MUSIC,Out ofHours,Out ofHours
02/10/2023,LS15 ,LS15 0,SHOUTING,Out ofHours,Out ofHours
02/10/2023,LS6 ,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
02/10/2023,LS6 ,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
03/10/2023,LS17 ,LS17 6,LOUD MUSIC,Out ofHours,Out ofHours
03/10/2023,LS11 ,LS11 0,LOUD MUSIC,Out ofHours,Out ofHours
03/10/2023,LS11 ,LS11 8,LOUD MUSIC,Out ofHours,Out ofHours
03/10/2023,LS18 ,LS18 ,ALARM,Out ofHours,Out ofHours
03/10/2023,LS6,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
03/10/2023,LS26 ,LS26 ,DOG BARKING,Out ofHours,Out ofHours
03/10/2023,LS9 ,LS9 ,LOUD MUSIC,Out ofHours,Out ofHours
03/10/2023,LS4,LS4 2,DIY,Out ofHours,Out ofHours
03/10/2023,LS14 ,LS14 1,LOUD MUSIC,Out ofHours,Out ofHours
03/10/2023,LS9 ,LS9 ,LOUD MUSIC,Out ofHours,Out ofHours
03/10/2023,LS17 ,LS17 6,LOUD MUSIC,Out ofHours,Out ofHours
03/10/2023,LS20 ,LS20 9,LOUD MUSIC,Out ofHours,Out ofHours
03/10/2023,LS6 ,LS6 1,SHOUTING,Out ofHours,Out ofHours
03/10/2023,LS6 ,LS6 ,LOUD MUSIC,Out ofHours,Out ofHours
03/10/2023,LS6 ,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
03/10/2023,LS4 ,LS4 2,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
03/10/2023,LS7 ,LS7 2,LOUD MUSIC,Out ofHours,Out ofHours
03/10/2023,LS6 ,LS6 3,SHOUTING,Out ofHours,Out ofHours
04/10/2023,LS6,LS6 1,SHOUTING,Out ofHours,Out ofHours
