Created,Caller Postcode,Accused Postcode,Type of Noise Causing a Nuisance,Sr_Num ,Enq Type
01/09/2024,LS8 ,LS8 3,Loud Music,Out ofHours,Out ofHours
01/09/2024,LS8 ,LS8 1,Loud Music,Out ofHours,Out ofHours
01/09/2024,WF10 ,WF10 2,Loud Music,Out ofHours,Out ofHours
01/09/2024,LS28 ,LS28 6,Loud Music,Out ofHours,Out ofHours
01/09/2024,LS28 ,LS28,Loud Music,Out ofHours,Out ofHours
01/09/2024,LS13 ,LS13 1,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
01/09/2024,LS9 ,LS9 9,Loud Music,Out ofHours,Out ofHours
01/09/2024,LS6 ,LS6 1,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
01/09/2024,LS9 ,LS9 6,Loud Music,Out ofHours,Out ofHours
02/09/2024,LS12 ,LS12 2,DIY,Out ofHours,Out ofHours
02/09/2024,LS7 ,LS7 4,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
02/09/2024,LS6 ,LS6 1,Shouting,Out ofHours,Out ofHours
02/09/2024,LS19 ,LS19 7,Dog Barking,Out ofHours,Out ofHours
02/09/2024,LS11 ,LS11 0,Loud Music,Out ofHours,Out ofHours
02/09/2024,LS13 ,LS13 2,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
02/09/2024,LS7 ,LS7 1,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
02/09/2024,LS10 ,LS10 3,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
02/09/2024,LS9 ,LS9,Dog Barking,Out ofHours,Out ofHours
02/09/2024,LS14 ,LS14 6,Loud Music,Out ofHours,Out ofHours
02/09/2024,LS14 ,LS14 6,Loud Music,Out ofHours,Out ofHours
02/09/2024,LS19 ,LS19 7,TV,Out ofHours,Out ofHours
02/09/2024,LS11 ,LS11 6,Loud Music,Out ofHours,Out ofHours
02/09/2024,LS9 ,LS9 7,Loud Music,Out ofHours,Out ofHours
03/09/2024,LS14 ,LS14 5,Loud Music,Out ofHours,Out ofHours
03/09/2024,LS14 ,LS14 1,Loud Music,Out ofHours,Out ofHours
03/09/2024,LS13 ,LS13 2,Loud Music,Out ofHours,Out ofHours
03/09/2024,LS11 ,LS11 5,TV,Out ofHours,Out ofHours
03/09/2024,LS19 ,LS19 7,Dog Barking,Out ofHours,Out ofHours
03/09/2024,LS7 ,LS7 1,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
03/09/2024,LS9 ,LS9 9,Loud Music,Out ofHours,Out ofHours
03/09/2024,LS13 ,LS13 2,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
03/09/2024,LS12 ,LS12 3,Shouting,Out ofHours,Out ofHours
03/09/2024,LS9 ,LS9 8,Loud Music,Out ofHours,Out ofHours
03/09/2024,LS6 ,LS6,Loud Music,Out ofHours,Out ofHours
03/09/2024,LS16 ,LS16 5,Shouting,Out ofHours,Out ofHours
04/09/2024,LS6 ,LS6,TV,Out ofHours,Out ofHours
04/09/2024,LS6 ,LS6,Dog Barking,Out ofHours,Out ofHours
04/09/2024,LS13 ,LS13 1,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
04/09/2024,LS9 ,LS9 8,Loud Music,Out ofHours,Out ofHours
04/09/2024,LS19,LS19 7,Dog Barking,Out ofHours,Out ofHours
04/09/2024,LS19 ,LS19 7,Dog Barking,Out ofHours,Out ofHours
04/09/2024,LS19 ,LS19,Dog Barking,Out ofHours,Out ofHours
04/09/2024,LS7 ,LS7 1,Loud Music,Out ofHours,Out ofHours
04/09/2024,LS6 ,LS6 3,TV,Out ofHours,Out ofHours
04/09/2024,BD4,BD4 8,Dog Barking,Out ofHours,Out ofHours
04/09/2024,LS7 ,LS7 1,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
04/09/2024,LS6 ,LS6 1,Shouting,Out ofHours,Out ofHours
05/09/2024,LS9 ,LS9 7,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
05/09/2024,LS11 ,LS11 9,Loud Music,Out ofHours,Out ofHours
05/09/2024,LS17 ,LS6 1,Shouting,Out ofHours,Out ofHours
05/09/2024,LS13,LS13 4,Shouting,Out ofHours,Out ofHours
05/09/2024,LS19 ,LS19 7,Dog Barking,Out ofHours,Out ofHours
05/09/2024,LS12,LS12 4,Loud Music,Out ofHours,Out ofHours
05/09/2024,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
06/09/2024,LS6 ,LS6 3,Party,Out ofHours,Out ofHours
06/09/2024,LS9 ,LS9,Loud Music,Out ofHours,Out ofHours
06/09/2024,LS6,LS6,Shouting,Out ofHours,Out ofHours
06/09/2024,LS12,LS12 3,Shouting,Out ofHours,Out ofHours
06/09/2024,LS14 ,LS14 6,Loud Music,Out ofHours,Out ofHours
06/09/2024,LS8 ,LS8 5,Shouting,Out ofHours,Out ofHours
06/09/2024,LS21 ,LS21 3,Party,Out ofHours,Out ofHours
06/09/2024,LS4 ,LS4 2,Party,Out ofHours,Out ofHours
06/09/2024,LS4 ,LS4 2,Party,Out ofHours,Out ofHours
06/09/2024,LS10 ,LS10 4,Party,Out ofHours,Out ofHours
06/09/2024,LS17 ,LS17 8,Shouting,Out ofHours,Out ofHours
06/09/2024,LS28 ,LS28 7,Loud Music,Out ofHours,Out ofHours
06/09/2024,LS16 ,LS16 5,Loud Music,Out ofHours,Out ofHours
06/09/2024,LS26 ,LS26 9,Loud Music,Out ofHours,Out ofHours
07/09/2024,LS14 ,LS14 6,Loud Music,Out ofHours,Out ofHours
07/09/2024,LS8 ,LS8 3,Loud Music,Out ofHours,Out ofHours
07/09/2024,LS11 ,LS11 7,Party,Out ofHours,Out ofHours
07/09/2024,LS18 ,LS18 4,Loud Music,Out ofHours,Out ofHours
07/09/2024,LS9 ,LS9 9,Party,Out ofHours,Out ofHours
07/09/2024,LS27 ,LS27 0,Loud Music,Out ofHours,Out ofHours
